coef,se,ene,avg,df,graph,lb95,ub95,order,iden1,iden2,iden3
.0078338999,.00081340002,96523,.2478521,1074,local alcohol,.0062378668,.0094299335,1,mr2,alcohol,m2
.0016028,.00078340003,96523,.2478521,1074,local businesses,.00006563191,.003139968,2,mr2,businesses,m2
.0014715,.00076939998,96523,.2478521,1074,local checkpoints,-.000038197639,.0029811976,3,mr2,checkpoints,m2
.0036611001,.00095439999,96523,.2478521,1074,local curfew,.0017884,.0055338,4,mr2,curfew,m2
-.0048938999,.0011072,96523,.2478521,1074,local events,-.0070664203,-.0027213795,5,mr2,events,m2
-.003672,.0007868,96523,.2478521,1074,local fines,-.0052158395,-.0021281606,6,mr2,fines,m2
-.00093580002,.0006961,96523,.2478521,1074,local masks,-.0023016701,.00043007018,7,mr2,masks,m2
.005347,.0006198,96523,.2478521,1074,local mobility,.0041308436,.0065631564,8,mr2,mobility,m2
.0060534002,.00085319998,96523,.2478521,1074,local publicplaces,.004379272,.007727528,9,mr2,publicplaces,m2
-.0123527,.00128,96523,-.21871459,1074,local alcohol,-.014864285,-.0098411152,1,mr1,alcohol,m2
-.0017055999,.0013381999,96523,-.21871459,1074,local businesses,-.0043313829,.00092018291,2,mr1,businesses,m2
-.0014292001,.0012084,96523,-.21871459,1074,local checkpoints,-.0038002925,.00094189256,3,mr1,checkpoints,m2
-.0056587998,.0015186,96523,-.21871459,1074,local curfew,-.0086385589,-.0026790407,4,mr1,curfew,m2
.0085543999,.0018098,96523,-.21871459,1074,local events,.0050032553,.012105545,5,mr1,events,m2
.0100931,.0013365,96523,-.21871459,1074,local fines,.0074706529,.012715547,6,mr1,fines,m2
.0021275,.0011564,96523,-.21871459,1074,local masks,-.00014155946,.0043965597,7,mr1,masks,m2
-.0105875,.0010908,96523,-.21871459,1074,local mobility,-.012727841,-.0084471591,8,mr1,mobility,m2
-.0092406999,.0014104,96523,-.21871459,1074,local publicplaces,-.012008152,-.0064732479,9,mr1,publicplaces,m2
-.0234366,.0249722,234270,.55860251,2465,local alcohol,-.072405256,.025532058,1,covid_1_pc,alcohol,m2
.082801104,.0213197,234270,.55860251,2465,local businesses,.04099473,.12460747,2,covid_1_pc,businesses,m2
.0126471,.025189999,234270,.55860251,2465,local checkpoints,-.036748648,.062042847,3,covid_1_pc,checkpoints,m2
.036127999,.021669701,234270,.55860251,2465,local curfew,-.0063646962,.078620695,4,covid_1_pc,curfew,m2
-.040003698,.0206971,234270,.55860251,2465,local events,-.080589198,.00058179873,5,covid_1_pc,events,m2
.0004892,.027608501,234270,.55860251,2465,local fines,-.053649049,.054627448,6,covid_1_pc,fines,m2
.0487056,.0305316,234270,.55860251,2465,local masks,-.011164634,.10857584,7,covid_1_pc,masks,m2
.046261299,.023471,234270,.55860251,2465,local mobility,.00023638635,.092286214,8,covid_1_pc,mobility,m2
.021147801,.017767699,234270,.55860251,2465,local publicplaces,-.01369336,.05598896,9,covid_1_pc,publicplaces,m2
.00089939998,.0051389998,234270,.066053502,2465,local alcohol,-.0091778031,.010976603,1,deaths_pc,alcohol,m2
.0054199002,.0034377,234270,.066053502,2465,local businesses,-.0013211782,.012160978,2,deaths_pc,businesses,m2
.0086257001,.0037968999,234270,.066053502,2465,local checkpoints,.0011802569,.016071143,3,deaths_pc,checkpoints,m2
.000099899997,.0020685,234270,.066053502,2465,local curfew,-.0039562769,.0041560773,4,deaths_pc,curfew,m2
-.0161373,.003663,234270,.066053502,2465,local events,-.023320176,-.0089544253,5,deaths_pc,events,m2
-.012472,.0036718,234270,.066053502,2465,local fines,-.019672131,-.0052718688,6,deaths_pc,fines,m2
-.0040576002,.0053198002,234270,.066053502,2465,local masks,-.014489339,.0063741384,7,deaths_pc,masks,m2
.0103605,.0060128998,234270,.066053502,2465,local mobility,-.001430357,.022151357,8,deaths_pc,mobility,m2
.0023316001,.0031093,234270,.066053502,2465,local publicplaces,-.0037655097,.0084287096,9,deaths_pc,publicplaces,m2
