coef,se,ene,avg,df,graph,lb95,ub95,order,iden1,iden2,iden3
-.0025804001,.0008104,45158,.27478209,769,spillovers inflow alcohol,-.0041712588,-.00098954129,1,mr2,inflow alcohol,m3
-.0025730999,.0018111001,45158,.27478209,769,spillovers inflow businesses,-.0061283866,.00098218641,2,mr2,inflow businesses,m3
-.00034960001,.0012472,45158,.27478209,769,spillovers inflow checkpoints,-.0027979205,.0020987205,3,mr2,inflow checkpoints,m3
.00019950001,.00042729999,45158,.27478209,769,spillovers inflow curfew,-.00063931284,.0010383128,4,mr2,inflow curfew,m3
.0029269999,.0020693,45158,.27478209,769,spillovers inflow events,-.0011351469,.006989147,5,mr2,inflow events,m3
-.0026181,.00063319999,45158,.27478209,769,spillovers inflow fines,-.0038611055,-.0013750944,6,mr2,inflow fines,m3
.0024468999,.00098000001,45158,.27478209,769,spillovers inflow masks,.00052310742,.0043706927,7,mr2,inflow masks,m3
.0023105999,.00088529999,45158,.27478209,769,spillovers inflow mobility,.00057270861,.0040484914,8,mr2,inflow mobility,m3
-.0022807,.0012441,45158,.27478209,769,spillovers inflow publicplaces,-.0047229351,.00016153503,9,mr2,inflow publicplaces,m3
.0028872001,.00082249998,45158,.27478209,769,spillovers local alcohol,.0012725884,.0045018117,10,mr2,alcohol,m3
-.0029273999,.0013614,45158,.27478209,769,spillovers local businesses,-.0055999011,-.00025489877,11,mr2,businesses,m3
.0017955001,.00081200001,45158,.27478209,769,spillovers local checkpoints,.00020150044,.0033894996,12,mr2,checkpoints,m3
.0023419999,.00090629997,45158,.27478209,769,spillovers local curfew,.0005628845,.0041211154,13,mr2,curfew,m3
-.0160711,.0048715002,45158,.27478209,769,spillovers local events,-.025634116,-.006508084,14,mr2,events,m3
-.0028023999,.00086019997,45158,.27478209,769,spillovers local fines,-.0044910186,-.0011137812,15,mr2,fines,m3
-.0036533,.00074049999,45158,.27478209,769,spillovers local masks,-.0051069413,-.0021996589,16,mr2,masks,m3
.0037434001,.00082630001,45158,.27478209,769,spillovers local mobility,.0021213288,.0053654714,17,mr2,mobility,m3
.00067410001,.00096709997,45158,.27478209,769,spillovers local publicplaces,-.0012243692,.0025725691,18,mr2,publicplaces,m3
.0018984,.0014907999,45158,-.27588299,769,spillovers inflow alcohol,-.0010281204,.0048249206,1,mr1,inflow alcohol,m3
.0025329001,.0044391002,45158,-.27588299,769,spillovers inflow businesses,-.0061812913,.011247091,2,mr1,inflow businesses,m3
-.00072479999,.0027073999,45158,-.27588299,769,spillovers inflow checkpoints,-.0060395715,.0045899716,3,mr1,inflow checkpoints,m3
-.0004466,.00088840001,45158,-.27588299,769,spillovers inflow curfew,-.0021905769,.0012973768,4,mr1,inflow curfew,m3
-.00070229999,.0048483,45158,-.27588299,769,spillovers inflow events,-.010219773,.0088151731,5,mr1,inflow events,m3
.0049675,.001631,45158,-.27588299,769,spillovers inflow fines,.0017657595,.0081692403,6,mr1,inflow fines,m3
-.0026469,.0023105999,45158,-.27588299,769,spillovers inflow masks,-.0071827318,.0018889317,7,mr1,inflow masks,m3
-.0057350001,.0016634,45158,-.27588299,769,spillovers inflow mobility,-.0090003433,-.0024696565,8,mr1,inflow mobility,m3
-.00012519999,.0030487999,45158,-.27588299,769,spillovers inflow publicplaces,-.0061101578,.0058597578,9,mr1,inflow publicplaces,m3
-.0031610001,.0015454,45158,-.27588299,769,spillovers local alcohol,-.0061947033,-.00012729691,10,mr1,alcohol,m3
.0026209,.0029684999,45158,-.27588299,769,spillovers local businesses,-.0032064246,.0084482245,11,mr1,businesses,m3
-.0030163,.0016192,45158,-.27588299,769,spillovers local checkpoints,-.0061948765,.00016227645,12,mr1,checkpoints,m3
-.0046585002,.0012687,45158,-.27588299,769,spillovers local curfew,-.0071490263,-.0021679739,13,mr1,curfew,m3
.011109,.0162753,45158,-.27588299,769,spillovers local events,-.020840287,.043058287,14,mr1,events,m3
.0061280001,.0016718,45158,-.27588299,769,spillovers local fines,.002846167,.0094098328,15,mr1,fines,m3
.0066120001,.0014034,45158,-.27588299,769,spillovers local masks,.0038570506,.0093669491,16,mr1,masks,m3
-.0053723999,.0014522,45158,-.27588299,769,spillovers local mobility,-.0082231462,-.0025216534,17,mr1,mobility,m3
-.0018501,.0026978001,45158,-.27588299,769,spillovers local publicplaces,-.007146026,.003445826,18,mr1,publicplaces,m3
.0013914,.031210501,84484,.77589297,1423,spillovers inflow alcohol,-.05983213,.062614933,1,covid_1_pc,inflow alcohol,m3
-.032672498,.055592898,84484,.77589297,1423,spillovers inflow businesses,-.14172533,.076380335,2,covid_1_pc,inflow businesses,m3
.064087197,.0574704,84484,.77589297,1423,spillovers inflow checkpoints,-.048648603,.17682301,3,covid_1_pc,inflow checkpoints,m3
.072078899,.0244122,84484,.77589297,1423,spillovers inflow curfew,.024191136,.11996666,4,covid_1_pc,inflow curfew,m3
-.045825299,.0618097,84484,.77589297,1423,spillovers inflow events,-.16707322,.075422615,5,covid_1_pc,inflow events,m3
-.0017645,.0274524,84484,.77589297,1423,spillovers inflow fines,-.055616017,.05208702,6,covid_1_pc,inflow fines,m3
-.0092853997,.075380802,84484,.77589297,1423,spillovers inflow masks,-.15715483,.13858402,7,covid_1_pc,inflow masks,m3
.089818098,.061963201,84484,.77589297,1423,spillovers inflow mobility,-.031730924,.21136713,8,covid_1_pc,inflow mobility,m3
.0121102,.0384776,84484,.77589297,1423,spillovers inflow publicplaces,-.063368708,.087589107,9,covid_1_pc,inflow publicplaces,m3
.074795701,.057587001,84484,.77589297,1423,spillovers local alcohol,-.038168829,.18776023,10,covid_1_pc,alcohol,m3
.050861102,.071516603,84484,.77589297,1423,spillovers local businesses,-.089428186,.19115038,11,covid_1_pc,businesses,m3
-.0662001,.044241399,84484,.77589297,1423,spillovers local checkpoints,-.15298547,.020585267,12,covid_1_pc,checkpoints,m3
-.0676139,.054327399,84484,.77589297,1423,spillovers local curfew,-.17418429,.038956493,13,covid_1_pc,curfew,m3
.94975698,1.147195,84484,.77589297,1423,spillovers local events,-1.3006179,3.2001319,14,covid_1_pc,events,m3
.0368912,.0376729,84484,.77589297,1423,spillovers local fines,-.037009183,.11079159,15,covid_1_pc,fines,m3
.088264398,.047823802,84484,.77589297,1423,spillovers local masks,-.0055483188,.18207712,16,covid_1_pc,masks,m3
-.064848803,.0398333,84484,.77589297,1423,spillovers local mobility,-.14298709,.013289494,17,covid_1_pc,mobility,m3
-.094067797,.073782302,84484,.77589297,1423,spillovers local publicplaces,-.23880155,.050665956,18,covid_1_pc,publicplaces,m3
.0183092,.0110711,84484,.084817201,1423,spillovers inflow alcohol,-.0034082292,.040026627,1,deaths_pc,inflow alcohol,m3
-.0150119,.017679701,84484,.084817201,1423,spillovers inflow businesses,-.049692973,.019669173,2,deaths_pc,inflow businesses,m3
.0192763,.0108026,84484,.084817201,1423,spillovers inflow checkpoints,-.0019144309,.040467031,3,deaths_pc,inflow checkpoints,m3
-.0008938,.0037881001,84484,.084817201,1423,spillovers inflow curfew,-.0083246604,.0065370598,4,deaths_pc,inflow curfew,m3
-.027291499,.0226081,84484,.084817201,1423,spillovers inflow events,-.071640283,.017057283,5,deaths_pc,inflow events,m3
-.0038373,.0045166002,84484,.084817201,1423,spillovers inflow fines,-.01269721,.0050226091,6,deaths_pc,inflow fines,m3
.0016965,.0102123,84484,.084817201,1423,spillovers inflow masks,-.018336279,.021729279,7,deaths_pc,inflow masks,m3
.01413,.0078935996,84484,.084817201,1423,spillovers inflow mobility,-.0013543421,.029614342,8,deaths_pc,inflow mobility,m3
.0175642,.0190071,84484,.084817201,1423,spillovers inflow publicplaces,-.019720744,.054849144,9,deaths_pc,inflow publicplaces,m3
.0084165996,.0122877,84484,.084817201,1423,spillovers local alcohol,-.015687352,.032520551,10,deaths_pc,alcohol,m3
.00071460003,.0087818,84484,.084817201,1423,spillovers local businesses,-.016512064,.017941264,11,deaths_pc,businesses,m3
.0050300001,.00789,84484,.084817201,1423,spillovers local checkpoints,-.01044728,.02050728,12,deaths_pc,checkpoints,m3
.0067906999,.0060625998,84484,.084817201,1423,spillovers local curfew,-.0051018931,.018683294,13,deaths_pc,curfew,m3
.0043982002,.029801499,84484,.084817201,1423,spillovers local events,-.05406139,.062857792,14,deaths_pc,events,m3
-.0143835,.0071553001,84484,.084817201,1423,spillovers local fines,-.028419569,-.00034743117,15,deaths_pc,fines,m3
-.00059830002,.0075063999,84484,.084817201,1423,spillovers local masks,-.015323098,.014126498,16,deaths_pc,masks,m3
-.0027182,.0083764,84484,.084817201,1423,spillovers local mobility,-.019149618,.013713218,17,deaths_pc,mobility,m3
-.0058527999,.0096977996,84484,.084817201,1423,spillovers local publicplaces,-.024876319,.013170719,18,deaths_pc,publicplaces,m3
