graph,coef,lb95,ub95,interaction,interactionss,ene,avg,iden1,iden2,iden3,policy_1,policy_2,order_1,order_2
local_checkpoints,-.5605525,-1.14756,.026455,0,0,84484,1.189361,covid_1,fines,m5,local_checkpoints,,3,
local_checkpoints,-.6301009,-1.260007,-.000195,0,1,84484,1.189361,covid_1,businesses,m5,local_checkpoints,,3,
local_checkpoints,-.5595366000000001,-1.13144,.0123669,0,0,84484,1.189361,covid_1,checkpoints,m5,local_checkpoints,,3,
local_curfew#local_masks,.0365447,-.301029,.3741183,1,0,84484,1.189361,covid_1,curfew,m5,local_curfew,local_masks,4,7
local_curfew#inflow_events,.0817161,-.1855018,.3489341,1,0,84484,1.189361,covid_1,curfew,m5,local_curfew,inflow_events,4,15
local_curfew#inflow_fines,.0276863,-.2082668,.2636393,1,0,84484,1.189361,covid_1,curfew,m5,local_curfew,inflow_fines,4,16
local_curfew,-.1843281,-.3870191,.0183629,0,0,84484,1.189361,covid_1,curfew,m5,local_curfew,,4,
local_events#local_alcohol,.4025068,.091629,.7133846,1,1,84484,1.189361,covid_1,checkpoints,m5,local_events,local_alcohol,5,1
local_events#local_alcohol,.4018024,.0914285,.7121763,1,1,84484,1.189361,covid_1,mobility,m5,local_events,local_alcohol,5,1
local_events#local_alcohol,.4025478,.0916346,.713461,1,1,84484,1.189361,covid_1,fines,m5,local_events,local_alcohol,5,1
local_events#local_alcohol,.4027969,.0900577,.7155362,1,1,84484,1.189361,covid_1,public places,m5,local_events,local_alcohol,5,1
local_events#local_alcohol,.4038123,.0926796,.7149450000000001,1,1,84484,1.189361,covid_1,masks,m5,local_events,local_alcohol,5,1
local_events#local_alcohol,.3969102,.0899219,.7038986,1,1,84484,1.189361,covid_1,events,m5,local_events,local_alcohol,5,1
local_events#local_alcohol,.4051228,.0945305,.7157151,1,1,84484,1.189361,covid_1,curfew,m5,local_events,local_alcohol,5,1
local_events#local_alcohol,.4001581,.0907974,.7095189,1,1,84484,1.189361,covid_1,businesses,m5,local_events,local_alcohol,5,1
local_events#local_businesses,-.2190757,-.7002003,.262049,1,0,84484,1.189361,covid_1,checkpoints,m5,local_events,local_businesses,5,2
local_events#local_businesses,-.2189461,-.6991941,.2613019,1,0,84484,1.189361,covid_1,fines,m5,local_events,local_businesses,5,2
local_events#local_businesses,-.2164981,-.6959714,.2629753,1,0,84484,1.189361,covid_1,events,m5,local_events,local_businesses,5,2
local_events#local_businesses,-.1860729,-.7002962,.3281505,1,0,84484,1.189361,covid_1,masks,m5,local_events,local_businesses,5,2
local_events#local_businesses,-.2177783,-.6980316,.2624751,1,0,84484,1.189361,covid_1,curfew,m5,local_events,local_businesses,5,2
local_events#local_businesses,-.2199618,-.6989491,.2590256,1,0,84484,1.189361,covid_1,public places,m5,local_events,local_businesses,5,2
local_events#local_businesses,-.2122299,-.7072274,.2827675,1,0,84484,1.189361,covid_1,mobility,m5,local_events,local_businesses,5,2
local_events#local_businesses,-.2606636,-.7472986,.2259715,1,0,84484,1.189361,covid_1,alcohol,m5,local_events,local_businesses,5,2
local_events#local_fines,-1.109647,-2.017127,-.2021676,1,1,84484,1.189361,covid_1,public places,m5,local_events,local_fines,5,6
local_events#local_fines,-1.109346,-2.014174,-.2045182,1,1,84484,1.189361,covid_1,checkpoints,m5,local_events,local_fines,5,6
local_events#local_fines,-1.105221,-2.010368,-.2000733,1,1,84484,1.189361,covid_1,alcohol,m5,local_events,local_fines,5,6
local_events#local_fines,-1.11489,-2.020364,-.2094163,1,1,84484,1.189361,covid_1,events,m5,local_events,local_fines,5,6
local_events#local_fines,-1.12451,-2.034075,-.2149452,1,1,84484,1.189361,covid_1,curfew,m5,local_events,local_fines,5,6
local_events#local_fines,-1.108437,-2.01759,-.1992852,1,1,84484,1.189361,covid_1,mobility,m5,local_events,local_fines,5,6
local_events#local_fines,-1.107745,-2.013525,-.2019659,1,1,84484,1.189361,covid_1,masks,m5,local_events,local_fines,5,6
local_events#local_fines,-1.103662,-2.007609,-.1997151,1,1,84484,1.189361,covid_1,businesses,m5,local_events,local_fines,5,6
local_events#inflow_mobility,.1590483,-.0270542,.3451509,1,0,84484,1.189361,covid_1,events,m5,local_events,inflow_mobility,5,18
local_events,-.377929,-1.20668,.4508223,0,0,84484,1.189361,covid_1,events,m5,local_events,,5,
local_fines#local_businesses,.2318501,-.0062457,.4699459,1,0,84484,1.189361,covid_1,fines,m5,local_fines,local_businesses,6,2
local_fines#local_events,-1.110054,-2.023444,-.1966643,1,1,84484,1.189361,covid_1,fines,m5,local_fines,local_events,6,5
local_fines#local_masks,.3996702,.1458035,.6535369,1,1,84484,1.189361,covid_1,fines,m5,local_fines,local_masks,6,7
local_fines#local_mobility,-.320058,-.5192814,-.1208346,1,1,84484,1.189361,covid_1,fines,m5,local_fines,local_mobility,6,8
local_fines#inflow_checkpoints,-.0914136,-.3600679,.1772407,1,0,84484,1.189361,covid_1,fines,m5,local_fines,inflow_checkpoints,6,13
local_fines#inflow_mobility,-.0816329,-.2371753,.0739095,1,0,84484,1.189361,covid_1,fines,m5,local_fines,inflow_mobility,6,18
local_fines,.453205,-.104202,1.010612,0,0,84484,1.189361,covid_1,businesses,m5,local_fines,,6,
local_fines,.4513938,-.1066483,1.009436,0,0,84484,1.189361,covid_1,checkpoints,m5,local_fines,,6,
local_fines,.4624956,-.0986576,1.023649,0,0,84484,1.189361,covid_1,curfew,m5,local_fines,,6,
