graph,coef,lb95,ub95,ene,avg,iden1,iden2,iden3,order
lasso interactions local public places,-.0042477,-.0098162,.0013209,45158,-.275883,mr1,public places,m5,9
lasso interactions inflow alcohol,-.0003679,-.0018696,.0011337,45158,.2747821,mr2,alcohol,m5,1
lasso interactions inflow businesses,-.0019869,-.0038044,-.0001694,45158,.2747821,mr2,businesses,m5,2
lasso interactions inflow checkpoints,-.001282,-.0026712,.0001073,45158,.2747821,mr2,checkpoints,m5,3
lasso interactions inflow curfew,-.0001152,-.0008912,.0006608,45158,.2747821,mr2,curfew,m5,4
lasso interactions inflow events,-.0036541,-.0056433,-.0016648,45158,.2747821,mr2,events,m5,5
lasso interactions inflow fines,-.0001223,-.0020336,.001789,45158,.2747821,mr2,fines,m5,6
lasso interactions inflow masks,-.0004886,-.001821,.0008439,45158,.2747821,mr2,masks,m5,7
lasso interactions inflow mobility,.0013111,.0000411,.002581,45158,.2747821,mr2,mobility,m5,8
lasso interactions inflow public places,-.0007488,-.0023832,.0008856,45158,.2747821,mr2,public places,m5,9
lasso interactions local alcohol,.0050013,-.0043613,.0143639,45158,.2747821,mr2,alcohol,m5,1
lasso interactions local businesses,-.0060612,-.0094932,-.0026291,45158,.2747821,mr2,businesses,m5,2
lasso interactions local checkpoints,-.001515,-.003104,.0000741,45158,.2747821,mr2,checkpoints,m5,3
lasso interactions local curfew,.0003069,-.0013222,.001936,45158,.2747821,mr2,curfew,m5,4
lasso interactions local events,-.0115945,-.0236398,.0004508,45158,.2747821,mr2,events,m5,5
lasso interactions local fines,.0014984,-.0003775,.0033743,45158,.2747821,mr2,fines,m5,6
lasso interactions local masks,-.0029602,-.0041641,-.0017563,45158,.2747821,mr2,masks,m5,7
lasso interactions local mobility,.004413,.0030156,.0058104,45158,.2747821,mr2,mobility,m5,8
lasso interactions local public places,.0016148,-.0030563,.0062859,45158,.2747821,mr2,public places,m5,9
lasso interactions inflow alcohol,.0097291,-.0411161,.0605744,84484,.9719203,covid_1_pc,alcohol,m5_14,1
lasso interactions inflow businesses,.0474677,-.0093229,.1042583,84484,.9719203,covid_1_pc,businesses,m5_14,2
lasso interactions inflow checkpoints,.0502947,-.0143456,.1149349,84484,.9719203,covid_1_pc,checkpoints,m5_14,3
lasso interactions inflow curfew,.0210108,-.0912899,.1333114,84484,.9719203,covid_1_pc,curfew,m5_14,4
lasso interactions inflow events,.0440065,-.0349705,.1229835,84484,.9719203,covid_1_pc,events,m5_14,5
lasso interactions inflow fines,.0425163,-.0541863,.1392188,84484,.9719203,covid_1_pc,fines,m5_14,6
lasso interactions inflow masks,-.017224,-.1123186,.0778705,84484,.9719203,covid_1_pc,masks,m5_14,7
lasso interactions inflow mobility,-.0001528,-.0779243,.0776187,84484,.9719203,covid_1_pc,mobility,m5_14,8
lasso interactions inflow public places,.0555682,.0021179,.1090186,84484,.9719203,covid_1_pc,public places,m5_14,9
lasso interactions local alcohol,.1115232,-.0359546,.259001,84484,.9719203,covid_1_pc,alcohol,m5_14,1
lasso interactions local businesses,.1614897,-.0096329,.3326123,84484,.9719203,covid_1_pc,businesses,m5_14,2
lasso interactions local checkpoints,-.0751066,-.1904551,.040242,84484,.9719203,covid_1_pc,checkpoints,m5_14,3
lasso interactions local curfew,-.1114495,-.2530141,.030115,84484,.9719203,covid_1_pc,curfew,m5_14,4
lasso interactions local events,.3932278,-1.96346,2.749915,84484,.9719203,covid_1_pc,events,m5_14,5
