,parameter,newspaper,title,date,search_,type_newspaper
207,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176994, Organización Panamericana de la Salud advierte propagación COVID-19 en Amazonía de Brasil Perú y Colombia, 2020-05-19T11:54:55,                          capitalcoahuila.com.mx-?p=176994, wordpress
208,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176978, Alemania y Francia respaldan plan &#8220;verde&#8221; para reanimar economía de la UE, 2020-05-19T10:54:52,                          capitalcoahuila.com.mx-?p=176978, wordpress
209,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176968, Ecuador anuncia bandas para precios de combustible y más recorte de gasto público, 2020-05-19T10:39:54,                          capitalcoahuila.com.mx-?p=176968, wordpress
210,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176962, Rendimientos bonos Tesoro EEUU caen antes de testimonio Powell en Senado, 2020-05-19T09:54:52,                          capitalcoahuila.com.mx-?p=176962, wordpress
211,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176950, Cines de Japón reabren con clásicos como &#8220;Ben Hur&#8221; y &#8220;El Mago de Oz&#8221;, 2020-05-19T09:24:52,                          capitalcoahuila.com.mx-?p=176950, wordpress
212,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176934, Representante de banda surcoreana BTS se disculpa por visita a un bar, 2020-05-19T08:24:58,                          capitalcoahuila.com.mx-?p=176934, wordpress
213,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176932, Policía advierte a escritor Gaiman por viaje de Nueva Zelanda a Escocia durante cuarentena, 2020-05-19T08:24:57,                          capitalcoahuila.com.mx-?p=176932, wordpress
214,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176928, Argentina fija precio local para barril de petróleo en 45 dlr para proteger industria, 2020-05-19T08:24:55,                          capitalcoahuila.com.mx-?p=176928, wordpress
215,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176918, Nicaragua registra aumento muertes por neumonía algunas ligadas a COVID-19: Daniel Ortega, 2020-05-19T07:39:51,                          capitalcoahuila.com.mx-?p=176918, wordpress
216,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176914, Congreso El Salvador aprueba ley protección de salud y reapertura económica Bukele anuncia veto, 2020-05-19T07:39:48,                          capitalcoahuila.com.mx-?p=176914, wordpress
217,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176904, Ministros de Finanzas G-7 discuten acelerar las economías mientras países reabren: Tesoro EEUU, 2020-05-19T07:24:50,                          capitalcoahuila.com.mx-?p=176904, wordpress
218,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176902, Mercados tendrán lenta recuperación por temor a COVID-19; efectivo seguirá reinando: sondeo BofA, 2020-05-19T07:09:50,                          capitalcoahuila.com.mx-?p=176902, wordpress
219,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176894, Powell y Mnuchin comparecen ante el Senado de EEUU para explicar su gestión de la crisis, 2020-05-19T06:09:48,                          capitalcoahuila.com.mx-?p=176894, wordpress
220,medidas coronavirus, http://www.capitalcoahuila.com.mx/?p=176880, Cierran filas Coahuila y Durango para evitar brote mayor de Covid-19 en La Laguna: Miguel Riquelme, 2020-05-19T03:52:36,                          capitalcoahuila.com.mx-?p=176880, wordpress
221,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176875, Venezuela declara nuevo toque de queda en población fronteriza con Colombia, 2020-05-18T21:40:55,                          capitalcoahuila.com.mx-?p=176875, wordpress
222,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176873, México supera los 50000 casos de coronavirus fallecidos suben a 5332, 2020-05-18T20:54:54,                          capitalcoahuila.com.mx-?p=176873, wordpress
223,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176867, Sindicatos en Ecuador protestan en las calles por reformas laborales pese al confinamiento, 2020-05-18T19:09:54,                          capitalcoahuila.com.mx-?p=176867, wordpress
224,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176861, Manifestantes y policía chocan en capital chilena en protesta por alimentos durante cuarentena, 2020-05-18T17:39:58,                          capitalcoahuila.com.mx-?p=176861, wordpress
225,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176853, Coronavirus está devastando comunidades indígenas en el mundo advierte experto de la ONU, 2020-05-18T17:24:54,                          capitalcoahuila.com.mx-?p=176853, wordpress
226,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176847, Gobierno México inicia reapertura de industria automotriz pese a que coronavirus no remite, 2020-05-18T16:24:52,                          capitalcoahuila.com.mx-?p=176847, wordpress
