,parameter,newspaper,title,date,date_policy,search_,type_newspaper
36,escuelas coronavirus, https://www.lja.mx/?p=319598, ONU llama a mitigar el impacto de la pandemia en la nutrición escolar, 2020-03-18T00:00:58,,                          lja.mx-?p=319598, wordpress
37,escuelas coronavirus, https://www.lja.mx/?p=319483, Así se vive con el coronavirus en 8 países , 2020-03-17T00:02:05,,                          lja.mx-?p=319483, wordpress
38,escuelas coronavirus, https://www.lja.mx/?p=319453, Tres actividades para tolerar la eventual cuarentena por el coronavirus / La escuela de los opiliones , 2020-03-17T00:01:40,,                          lja.mx-?p=319453, wordpress
39,escuelas coronavirus, https://www.lja.mx/?p=319419, Anuncia IEA medidas para prevenir el Coronavirus, 2020-03-17T00:00:08,,                          lja.mx-?p=319419, wordpress
40,escuelas coronavirus, https://www.lja.mx/?p=319497, Aguascalientes se prepara ante la llegada del Covid-19, 2020-03-17T00:00:00,,1, wordpress
41,escuelas coronavirus, https://www.lja.mx/?p=319398, No se cancela se pospone la Feria Nacional de San Marcos en Aguascalientes, 2020-03-15T10:00:58,,1, wordpress
42,escuelas coronavirus, https://www.lja.mx/?p=319370, Orozco Sandoval Gobernador de Aguascalientes anunció medidas de prevención contra coronavirus, 2020-03-14T00:00:36,,1, wordpress
43,escuelas coronavirus, https://www.lja.mx/?p=318830, La Purísima… Grilla:  Lunes negro, 2020-03-10T00:06:58,,                          lja.mx-?p=318830, wordpress
44,escuelas coronavirus, https://www.lja.mx/?p=318686, Sí se valora la cancelación de la FNSM en Aguascalientes, 2020-03-09T00:02:06,,1, wordpress
45,escuelas coronavirus, https://www.lja.mx/?p=318024, Padres de familia deben de agudizar prevención a coronavirus en los niños, 2020-03-03T00:02:05,,                          lja.mx-?p=318024, wordpress
46,escuelas coronavirus, https://www.lja.mx/?p=317826, Las marrullerías del “cambio verdadero” de la 4T/ Bravuconadas, 2020-03-02T00:01:51,,                          lja.mx-?p=317826, wordpress
47,escuelas coronavirus, https://www.lja.mx/?p=317764, Se implementan en Aguascalientes medidas preventivas por coronavirus, 2020-02-29T00:02:27,,1, wordpress
48,escuelas coronavirus, https://www.lja.mx/?p=313350, Conoce las preventivas contra el coronavirus en México, 2020-01-25T14:05:28,,                          lja.mx-?p=313350, wordpress
