,parameter,newspaper,title,date,date_policy,search_,type_newspaper
141,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=417060, EU está “muy preparado” para coronavirus señala Trump, 2020-02-26T20:41:52,,                          lajornadasanluis.com.mx-?p=417060, wordpress
142,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=416926, Italia busca apoyo internacional por coronavirus; van 12 muertos, 2020-02-26T11:55:53,,                          lajornadasanluis.com.mx-?p=416926, wordpress
143,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=416904, Evalúan en Japón recortar relevo de antorcha olímpica por coronavirus, 2020-02-26T10:30:38,,                          lajornadasanluis.com.mx-?p=416904, wordpress
144,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=416442, Desata coronavirus alerta máxima en Corea del Sur Italia e Irán, 2020-02-23T15:23:44,,                          lajornadasanluis.com.mx-?p=416442, wordpress
145,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=416360, Ocho muertos por coronavirus en Irán; países vecinos cierran fronteras, 2020-02-23T10:28:39,,                          lajornadasanluis.com.mx-?p=416360, wordpress
146,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=416281, EU acusa a Rusia por difundir desinformación sobre el coronavirus, 2020-02-22T11:30:33,,                          lajornadasanluis.com.mx-?p=416281, wordpress
147,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=416165, Sin «vínculo epidemiológico claro» de coronavirus fuera de China: OMS, 2020-02-21T15:02:56,,                          lajornadasanluis.com.mx-?p=416165, wordpress
148,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=411899, Suman 54 muertos y 1610 infectados por coronavirus en China, 2020-01-25T20:17:12,,                          lajornadasanluis.com.mx-?p=411899, wordpress
149,escuelas coronavirus, http://ljz.mx/?p=293974, Anuncia Gobierno federal plan para ingresar a la nueva normalidad; será a partir del 18 de mayo, 2020-05-13T09:47:28,,                          ljz.mx-?p=293974, wordpress
150,escuelas coronavirus, http://ljz.mx/?p=292752, Zacatecas de los estados que no han dado información sobre ocupación hospitalaria, 2020-04-27T02:32:50,,                          ljz.mx-?p=292752, wordpress
151,escuelas coronavirus, http://ljz.mx/?p=292493, Comercio en pequeño sufre horrorosamente por la contingencia sanitaria: Canacope, 2020-04-23T04:34:25,,                          ljz.mx-?p=292493, wordpress
152,escuelas coronavirus, http://ljz.mx/?p=292122, El distanciamiento social el éxito de California ante el Covid-19, 2020-04-18T00:41:41,,1, wordpress
153,escuelas coronavirus, http://ljz.mx/?p=291470, Disminuye la afluencia vehicular debido a la contingencia: DPSV, 2020-04-11T01:03:20,,1, wordpress
154,escuelas coronavirus, http://ljz.mx/?p=291326, Estudiantes de medicina piden que no haya represalias por retirarse de clínicas, 2020-04-09T13:57:18,,                          ljz.mx-?p=291326, wordpress
155,escuelas coronavirus, http://ljz.mx/?p=291261, Propuesta de Acuerdo Nacional por la Resiliencia de México, 2020-04-09T01:51:23,,                          ljz.mx-?p=291261, wordpress
156,escuelas coronavirus, http://ljz.mx/?p=291133, Aprueba cabildo de Zacatecas la celebración de sesiones virtuales, 2020-04-08T03:02:34,,1, wordpress
157,escuelas coronavirus, http://ljz.mx/?p=290329, Solicita alcalde capitalino a la CFE reestructurar el esquema tarifario, 2020-03-31T01:08:27,,                          ljz.mx-?p=290329, wordpress
158,escuelas coronavirus, http://ljz.mx/?p=290187, Alcalde de la capital gestiona alternativas en pago del agua ante emergencia sanitaria, 2020-03-28T01:38:25,,1, wordpress
159,escuelas coronavirus, http://ljz.mx/?p=290055, Diputados locales acuerdan suspender los trabajos legislativos hasta el 20 de abril, 2020-03-26T02:02:40,,                          ljz.mx-?p=290055, wordpress
160,escuelas coronavirus, http://ljz.mx/?p=289837, Municipio de Zacatecas anuncia incentivos para fortalecer la economía ante emergencia sanitaria, 2020-03-24T05:16:50,,1, wordpress
161,escuelas coronavirus, http://ljz.mx/?p=289816, Zacatecanos padecen en Europa y EU los efectos de la emergencia sanitaria por el Covid-19, 2020-03-24T04:53:08,,                          ljz.mx-?p=289816, wordpress
162,escuelas coronavirus, http://ljz.mx/?p=289778, Sugerencias para ver en internet durante esta contingencia, 2020-03-23T16:55:40,,                          ljz.mx-?p=289778, wordpress
163,escuelas coronavirus, http://ljz.mx/?p=289760, Postergar los JO de Tokio quizá es “inevitable”: Shinzo Abe, 2020-03-23T13:53:59,,                          ljz.mx-?p=289760, wordpress
164,escuelas coronavirus, http://ljz.mx/?p=289426, El Día Mundial del Agua y el Coronavirus, 2020-03-19T01:17:38,,                          ljz.mx-?p=289426, wordpress
165,escuelas coronavirus, http://ljz.mx/?p=289340, “No son vacaciones se trata de aislamiento preventivo para evitar contagios de Coronavirus”: Godezac, 2020-03-18T03:48:35,,                          ljz.mx-?p=289340, wordpress
166,escuelas coronavirus, http://ljz.mx/?p=289306, Ya van 2 millones de personas muertas por HAMBRE, 2020-03-18T03:17:04,,                          ljz.mx-?p=289306, wordpress
167,escuelas coronavirus, http://ljz.mx/?p=289305, El caos nuestro, 2020-03-18T03:16:22,,                          ljz.mx-?p=289305, wordpress
168,escuelas coronavirus, http://ljz.mx/?p=289240, Se acelera el contagio del coronavirus. Exijámonos disciplina y derrotemos al miedo, 2020-03-17T00:46:35,,                          ljz.mx-?p=289240, wordpress
169,escuelas coronavirus, http://ljz.mx/?p=289238, ¿Están a la altura?, 2020-03-17T00:43:15,,                          ljz.mx-?p=289238, wordpress
170,escuelas coronavirus, http://ljz.mx/?p=289212, Se acelera el contagio del coronavirus. Exijámonos disciplina y derrotemos al miedo., 2020-03-16T14:03:05,,                          ljz.mx-?p=289212, wordpress
171,escuelas coronavirus, http://ljz.mx/?p=289190, Más de 105 millones en Europa están en cuarentena, 2020-03-16T12:20:23,,                          ljz.mx-?p=289190, wordpress
172,escuelas coronavirus, http://ljz.mx/?p=289060, Aumentará Gobierno del Estado filtros de seguridad sanitaria, 2020-03-13T02:20:45,,1, wordpress
173,escuelas coronavirus, http://ljz.mx/?p=288903, En 15 días posible expansión comunitaria de Covid-19 en México: Ssa, 2020-03-12T10:29:15,,                          ljz.mx-?p=288903, wordpress
174,escuelas coronavirus, http://ljz.mx/?p=287944, Hasta el momento hay 5 casos confirmados de Covid-19 en México, 2020-03-02T01:56:37,,                          ljz.mx-?p=287944, wordpress
175,escuelas coronavirus, http://ljz.mx/?p=287784, Dos casos de Covid19 en México; uno confirmado otro en estudio, 2020-02-28T11:54:07,,                          ljz.mx-?p=287784, wordpress
176,escuelas coronavirus, http://ljz.mx/?p=287314, China: el Covid-19 la peor emergencia en salud desde 1949, 2020-02-24T11:50:07,,                          ljz.mx-?p=287314, wordpress
177,escuelas coronavirus, http://laopiniondebahia.com/?p=8606, Trabajar “clases en línea” puso al descubierto la gran desigualdad social, 2020-04-17T21:52:22,,                          laopiniondebahia.com-?p=8606, wordpress
178,escuelas coronavirus, http://laopiniondebahia.com/?p=8232, La ONU libera US $ 15 millones para ayudar a los países vulnerables a combatir la propagación del coronavirus, 2020-03-01T23:33:23,,                          laopiniondebahia.com-?p=8232, wordpress
