ds,crisis_name,polygon_id,polygon_name,age_bracket,gender,baseline_name,baseline_type,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2020-03-16,MEX_gadm_2,22107,Cortazar,Overall,Overall,full_february,DAY_OF_WEEK,-0.18627102049304783,0.20446720928192555
2020-03-16,MEX_gadm_2,23494,Jes-s Carranza,Overall,Overall,full_february,DAY_OF_WEEK,0.1674985729996813,0.23609127475997865
2020-03-16,MEX_gadm_2,22546,Temascalapa,Overall,Overall,full_february,DAY_OF_WEEK,-0.1798691525731354,0.18373778068372143
2020-03-16,MEX_gadm_2,23655,Tepetongo,Overall,Overall,full_february,DAY_OF_WEEK,0.12460798290769294,0.19631148915147514
2020-03-16,MEX_gadm_2,22540,Soyaniquilpan de Ju-rez,Overall,Overall,full_february,DAY_OF_WEEK,-0.030503094960181328,0.13701094738918013
2020-03-16,MEX_gadm_2,22947,Ca-ada Morelos,Overall,Overall,full_february,DAY_OF_WEEK,0.046122200466638515,0.20646431850067007
2020-03-16,MEX_gadm_2,22116,Jer-cuaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.07884339433470758,0.16773977988884142
2020-03-16,MEX_gadm_2,22301,Tolcayuca,Overall,Overall,full_february,DAY_OF_WEEK,-0.17711556507510642,0.1817029609091583
2020-03-16,MEX_gadm_2,22939,Zoquiapan,Overall,Overall,full_february,DAY_OF_WEEK,0.45543608852433853,0.19167405014959635
2020-03-16,MEX_gadm_2,22289,Tepeji del R-o de Ocampo,Overall,Overall,full_february,DAY_OF_WEEK,-0.23497109928308146,0.22875141755769748
2020-03-16,MEX_gadm_2,22797,Dist. Teposcolula,Overall,Overall,full_february,DAY_OF_WEEK,-0.013950469843932679,0.1610092489101424
2020-03-16,MEX_gadm_2,23172,Pitiquito,Overall,Overall,full_february,DAY_OF_WEEK,0.06091695068585356,0.17151307165775825
2020-03-16,MEX_gadm_2,22564,Arteaga,Overall,Overall,full_february,DAY_OF_WEEK,0.0449779273980357,0.15986232022590702
2020-03-16,MEX_gadm_2,22221,Arcelia,Overall,Overall,full_february,DAY_OF_WEEK,-0.032518286087834025,0.16451078326778149
2020-03-16,MEX_gadm_2,23249,Tampico,Overall,Overall,full_february,DAY_OF_WEEK,-0.15757783745049952,0.20613807694898656
2020-03-16,MEX_gadm_2,22599,Cuitzeo,Overall,Overall,full_february,DAY_OF_WEEK,-0.14257247112013358,0.17789894086150743
2020-03-16,MEX_gadm_2,22580,Buenavista,Overall,Overall,full_february,DAY_OF_WEEK,0.006353099890495824,0.13422171119631285
2020-03-16,MEX_gadm_2,22777,Apodaca,Overall,Overall,full_february,DAY_OF_WEEK,-0.2595160223350286,0.25431018395502786
2020-03-16,MEX_gadm_2,23303,Chiautempan,Overall,Overall,full_february,DAY_OF_WEEK,-0.07544693519210743,0.1658722556645258
2020-03-16,MEX_gadm_2,23895,Francisco I. Madero,Overall,Overall,full_february,DAY_OF_WEEK,-0.12721343386925585,0.18439991916756332
2020-03-16,MEX_gadm_2,22068,Guanacev-,Overall,Overall,full_february,DAY_OF_WEEK,-0.03889082939263984,0.23284583003174744
2020-03-16,MEX_gadm_2,22127,Salvatierra,Overall,Overall,full_february,DAY_OF_WEEK,-0.1437797461114646,0.2214047213877033
2020-03-16,MEX_gadm_2,22877,Teotlalco,Overall,Overall,full_february,DAY_OF_WEEK,-0.06291440821987994,0.18061804605090231
2020-03-16,MEX_gadm_2,22721,Tuxpan,Overall,Overall,full_february,DAY_OF_WEEK,-0.12650962575074537,0.22542427083768113
2020-03-16,MEX_gadm_2,23072,Rioverde,Overall,Overall,full_february,DAY_OF_WEEK,-0.03046582612884709,0.1456105048619252
2020-03-16,MEX_gadm_2,23617,Apozol,Overall,Overall,full_february,DAY_OF_WEEK,-0.017246967082264496,0.18648450116998694
2020-03-16,MEX_gadm_2,23678,Champot-n,Overall,Overall,full_february,DAY_OF_WEEK,0.006715931347354809,0.2040780592125313
2020-03-16,MEX_gadm_2,22408,Antonio Escobedo,Overall,Overall,full_february,DAY_OF_WEEK,-0.05155228770346235,0.1553023045544549
2020-03-16,MEX_gadm_2,23026,La Paz,Overall,Overall,full_february,DAY_OF_WEEK,-0.15426459746716442,0.1682375826838802
2020-03-16,MEX_gadm_2,22572,Zamora,Overall,Overall,full_february,DAY_OF_WEEK,-0.1251940375392765,0.19889886292019454
2020-03-16,MEX_gadm_2,22649,Quer-ndaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.19587372763526756,0.21447670385608175
2020-03-16,MEX_gadm_2,22543,Tec-mac,Overall,Overall,full_february,DAY_OF_WEEK,-0.26588315668710255,0.2488029878526811
2020-03-16,MEX_gadm_2,22796,Dist. Teotitlan,Overall,Overall,full_february,DAY_OF_WEEK,0.04202050211098442,0.20703121782164607
2020-03-16,MEX_gadm_2,23710,Chil-n,Overall,Overall,full_february,DAY_OF_WEEK,0.08116786971924586,0.232847079140784
2020-03-16,MEX_gadm_2,23733,Ju-rez,Overall,Overall,full_february,DAY_OF_WEEK,-0.014471969658287395,0.20260152713640953
2020-03-16,MEX_gadm_2,22445,Timilpan,Overall,Overall,full_february,DAY_OF_WEEK,-0.1952329990809889,0.2445351207831021
2020-03-16,MEX_gadm_2,23720,Frontera Comalapa,Overall,Overall,full_february,DAY_OF_WEEK,0.08824947850740891,0.1828715608406485
2020-03-16,MEX_gadm_2,23912,Venustiano Carranza,Overall,Overall,full_february,DAY_OF_WEEK,-0.3138740523526116,0.2794965590687767
2020-03-16,MEX_gadm_2,23818,Ignacio Zaragoza,Overall,Overall,full_february,DAY_OF_WEEK,0.0027672182010148785,0.10491134107319232
2020-03-16,MEX_gadm_2,22410,Puerto Vallarta,Overall,Overall,full_february,DAY_OF_WEEK,-0.050466726106648645,0.16984653334300898
2020-03-16,MEX_gadm_2,23618,Fresnillo,Overall,Overall,full_february,DAY_OF_WEEK,-0.06793818894550682,0.174946888618874
2020-03-16,MEX_gadm_2,22559,Tequixquiac,Overall,Overall,full_february,DAY_OF_WEEK,-0.22123905176481426,0.22469305225729155
2020-03-16,MEX_gadm_2,23244,R-o Bravo,Overall,Overall,full_february,DAY_OF_WEEK,-0.15529396733845494,0.17705605579988848
2020-03-16,MEX_gadm_2,22414,San Juan de los Lagos,Overall,Overall,full_february,DAY_OF_WEEK,0.15757875123116066,0.12415500174832705
2020-03-16,MEX_gadm_2,22577,Ziracuaretiro,Overall,Overall,full_february,DAY_OF_WEEK,-0.02320745133437924,0.16689418937882508
2020-03-16,MEX_gadm_2,23193,Ures,Overall,Overall,full_february,DAY_OF_WEEK,0.16682070990125591,0.13597902217930719
2020-03-16,MEX_gadm_2,22505,Jilotzingo,Overall,Overall,full_february,DAY_OF_WEEK,-0.30099071658178933,0.22871962887354194
2020-03-16,MEX_gadm_2,22547,Temascalcingo,Overall,Overall,full_february,DAY_OF_WEEK,-0.05318913968312248,0.1694047698243329
2020-03-16,MEX_gadm_2,23892,Casta-os,Overall,Overall,full_february,DAY_OF_WEEK,-0.15016360765864914,0.17808604156114613
2020-03-16,MEX_gadm_2,23468,Espinal,Overall,Overall,full_february,DAY_OF_WEEK,-0.03904320011083792,0.24573831744161284
2020-03-16,MEX_gadm_2,23796,Casas Grandes,Overall,Overall,full_february,DAY_OF_WEEK,-0.05328334100644541,0.1413795489380838
2020-03-16,MEX_gadm_2,23123,Angostura,Overall,Overall,full_february,DAY_OF_WEEK,-0.03536902488316715,0.14967012570767524
2020-03-16,MEX_gadm_2,22537,San Mateo Atenco,Overall,Overall,full_february,DAY_OF_WEEK,-0.17595185718715356,0.18442426984494661
2020-03-16,MEX_gadm_2,22740,Garc-a,Overall,Overall,full_february,DAY_OF_WEEK,-0.27908887807201527,0.2623107830598351
2020-03-16,MEX_gadm_2,22117,Le-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.23785583722032969,0.2217282376275571
2020-03-16,MEX_gadm_2,22376,G-mez Far-as,Overall,Overall,full_february,DAY_OF_WEEK,-0.17708876982191765,0.14774518635643766
2020-03-16,MEX_gadm_2,22742,General Escobedo,Overall,Overall,full_february,DAY_OF_WEEK,-0.29692329122604005,0.2488813807851359
2020-03-16,MEX_gadm_2,23716,Acapetahua,Overall,Overall,full_february,DAY_OF_WEEK,0.2202636934426103,0.20134486570504664
2020-03-16,MEX_gadm_2,23023,Mixtla,Overall,Overall,full_february,DAY_OF_WEEK,-0.11734688813348648,0.14403846618201493
2020-03-16,MEX_gadm_2,23229,Llera,Overall,Overall,full_february,DAY_OF_WEEK,0.1847055975805935,0.11514603772658817
2020-03-16,MEX_gadm_2,23762,Pijijiapan,Overall,Overall,full_february,DAY_OF_WEEK,-0.04049841866834899,0.18155709390023958
2020-03-16,MEX_gadm_2,22501,Ixtlahuaca,Overall,Overall,full_february,DAY_OF_WEEK,-0.09643441906559953,0.14970803941022556
2020-03-16,MEX_gadm_2,23124,Badiraguato,Overall,Overall,full_february,DAY_OF_WEEK,-0.1538688087315447,0.18309701855017943
2020-03-16,MEX_gadm_2,22231,Acatl-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.06142311740714848,0.14786731876534276
2020-03-16,MEX_gadm_2,22419,Arandas,Overall,Overall,full_february,DAY_OF_WEEK,-0.06277614638485984,0.1555318800130291
2020-03-16,MEX_gadm_2,23603,Ticul,Overall,Overall,full_february,DAY_OF_WEEK,-0.14345632627989052,0.168521905857987
2020-03-16,MEX_gadm_2,23465,Acultzingo,Overall,Overall,full_february,DAY_OF_WEEK,-0.11691963464489792,0.19631427026685788
2020-03-16,MEX_gadm_2,23785,Tecpat-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.04723670132625516,0.2598597481377625
2020-03-16,MEX_gadm_2,22628,Marcos Castellanos,Overall,Overall,full_february,DAY_OF_WEEK,-0.026905080615651302,0.11555225437673644
2020-03-16,MEX_gadm_2,22358,Ciudad Guzman,Overall,Overall,full_february,DAY_OF_WEEK,-0.1313161371782745,0.1706487497644922
2020-03-16,MEX_gadm_2,22131,San Francisco del Rinc-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.15413420269625347,0.17261271655008512
2020-03-16,MEX_gadm_2,22763,Montemorelos,Overall,Overall,full_february,DAY_OF_WEEK,-0.14975205450195797,0.1835553246576634
2020-03-16,MEX_gadm_2,22847,San Mart-n Texmelucan,Overall,Overall,full_february,DAY_OF_WEEK,-0.21637247502330903,0.1852007564584372
2020-03-16,MEX_gadm_2,23120,Salvador Alvarado,Overall,Overall,full_february,DAY_OF_WEEK,-0.01867920208739602,0.1590849095792049
2020-03-16,MEX_gadm_2,23490,Jalancingo,Overall,Overall,full_february,DAY_OF_WEEK,-0.016238141478393822,0.18558510472631184
2020-03-16,MEX_gadm_2,22135,Santa Cruz de Juventino Rosas,Overall,Overall,full_february,DAY_OF_WEEK,-0.08391662580208753,0.1917969751243349
2020-03-16,MEX_gadm_2,22481,Chimalhuac-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.2819885880967532,0.2697366770132023
2020-03-16,MEX_gadm_2,22860,San Salvador el Verde,Overall,Overall,full_february,DAY_OF_WEEK,-0.19847908864891586,0.1854783986560612
2020-03-16,MEX_gadm_2,23154,-lamos,Overall,Overall,full_february,DAY_OF_WEEK,0.0921815770934339,0.11998326066662729
2020-03-16,MEX_gadm_2,23354,Sayula de Alem-n,Overall,Overall,full_february,DAY_OF_WEEK,0.10315923130409473,0.2220946299096657
2020-03-16,MEX_gadm_2,23480,Isla,Overall,Overall,full_february,DAY_OF_WEEK,0.03203784656652031,0.20005776891833654
2020-03-16,MEX_gadm_2,22488,Cuautitl-n Izcalli,Overall,Overall,full_february,DAY_OF_WEEK,-0.32221691771754646,0.26554714334340646
2020-03-16,MEX_gadm_2,23683,Tuxtla Chico,Overall,Overall,full_february,DAY_OF_WEEK,-0.1340774553390275,0.2032628872718441
2020-03-16,MEX_gadm_2,22648,Puru-ndiro,Overall,Overall,full_february,DAY_OF_WEEK,-0.04228150833950235,0.1695838712756614
2020-03-16,MEX_gadm_2,23875,Parras,Overall,Overall,full_february,DAY_OF_WEEK,0.17165222456119794,0.13998969340482226
2020-03-16,MEX_gadm_2,22412,San Crist-bal de la Barranca,Overall,Overall,full_february,DAY_OF_WEEK,-0.33177243600674683,0.22532978533633888
2020-03-16,MEX_gadm_2,23662,Villa de Cos,Overall,Overall,full_february,DAY_OF_WEEK,0.10673339001409982,0.1707641092523863
2020-03-16,MEX_gadm_2,22463,Zinacatepec,Overall,Overall,full_february,DAY_OF_WEEK,-0.20918797285208068,0.2611265229877835
2020-03-16,MEX_gadm_2,23201,Balanc-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.006576569131666815,0.1810815340899214
2020-03-16,MEX_gadm_2,23767,Salto de Agua,Overall,Overall,full_february,DAY_OF_WEEK,-0.013608768993442441,0.2699704859899299
2020-03-16,MEX_gadm_2,22156,Atoyac de Alvarez,Overall,Overall,full_february,DAY_OF_WEEK,-0.057952531450769076,0.21755355420034433
2020-03-16,MEX_gadm_2,23877,Progreso,Overall,Overall,full_february,DAY_OF_WEEK,-0.04733294433188111,0.12789390445971796
2020-03-16,MEX_gadm_2,23404,-rsulo Galv-n,Overall,Overall,full_february,DAY_OF_WEEK,0.24422007852767963,0.1258102057244966
2020-03-16,MEX_gadm_2,22539,Santo Tom-s,Overall,Overall,full_february,DAY_OF_WEEK,-0.09338147309456969,0.19064379488215294
2020-03-16,MEX_gadm_2,22294,Tizayuca,Overall,Overall,full_february,DAY_OF_WEEK,-0.20300928763857895,0.21528784647934834
2020-03-16,MEX_gadm_2,22667,Tinguind-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.1067151804135672,0.1877458543174563
2020-03-16,MEX_gadm_2,22874,Tehuitzingo,Overall,Overall,full_february,DAY_OF_WEEK,-0.05518028603651238,0.16862610386602883
2020-03-16,MEX_gadm_2,23899,Comala,Overall,Overall,full_february,DAY_OF_WEEK,-0.18940257964048263,0.16166856600418203
2020-03-16,MEX_gadm_2,22109,Cuer-maro,Overall,Overall,full_february,DAY_OF_WEEK,-0.0992781863579257,0.1765363301008368
2020-03-16,MEX_gadm_2,23025,Naupan,Overall,Overall,full_february,DAY_OF_WEEK,-0.08147651285505297,0.17617522938225316
2020-03-16,MEX_gadm_2,23801,Cuauht-moc,Overall,Overall,full_february,DAY_OF_WEEK,-0.08622285093372607,0.13165561418214483
2020-03-16,MEX_gadm_2,22475,Acolman,Overall,Overall,full_february,DAY_OF_WEEK,-0.2418530162512771,0.19393054909037022
2020-03-16,MEX_gadm_2,22658,Tac-mbaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.09028190283597802,0.15806141410113986
2020-03-16,MEX_gadm_2,22104,G-mez Palacio,Overall,Overall,full_february,DAY_OF_WEEK,-0.17169014772177113,0.20372678137520192
2020-03-16,MEX_gadm_2,22330,Uni-n de Tula,Overall,Overall,full_february,DAY_OF_WEEK,0.004339758578343422,0.15718615877337674
2020-03-16,MEX_gadm_2,22424,Tala,Overall,Overall,full_february,DAY_OF_WEEK,-0.19135046660954616,0.18562393858114218
2020-03-16,MEX_gadm_2,22603,Erongar-cuaro,Overall,Overall,full_february,DAY_OF_WEEK,0.03557951583055256,0.17610865893029545
2020-03-16,MEX_gadm_2,23098,Villa de Arriaga,Overall,Overall,full_february,DAY_OF_WEEK,-0.17208271903610675,0.16387232478393463
2020-03-16,MEX_gadm_2,22997,Huehuetl-n el Chico,Overall,Overall,full_february,DAY_OF_WEEK,-0.03393216765978247,0.1734502365386198
2020-03-16,MEX_gadm_2,22804,Dist. Zimatlan,Overall,Overall,full_february,DAY_OF_WEEK,-0.20206528786429126,0.21444249489748846
2020-03-16,MEX_gadm_2,23128,Cosal-,Overall,Overall,full_february,DAY_OF_WEEK,-0.21364891000034286,0.1884036222027756
2020-03-16,MEX_gadm_2,22571,Zacapu,Overall,Overall,full_february,DAY_OF_WEEK,-0.09363180005827691,0.15672181389083134
2020-03-16,MEX_gadm_2,22212,Tetipac,Overall,Overall,full_february,DAY_OF_WEEK,0.08454760732638114,0.16169754192727814
2020-03-16,MEX_gadm_2,22426,Tamazula de Gordiano,Overall,Overall,full_february,DAY_OF_WEEK,-0.1787717069749056,0.20353328402452828
2020-03-16,MEX_gadm_2,23497,Juan Rodr-guez Clara,Overall,Overall,full_february,DAY_OF_WEEK,0.04542242739232849,0.19549942578086166
2020-03-16,MEX_gadm_2,22723,Ahuacatl-n,Overall,Overall,full_february,DAY_OF_WEEK,0.0021409821804146112,0.18482857067499645
2020-03-16,MEX_gadm_2,22913,Venustiano Carranza,Overall,Overall,full_february,DAY_OF_WEEK,0.031390961752302,0.2049355676632213
2020-03-16,MEX_gadm_2,23054,Puerto Morelos,Overall,Overall,full_february,DAY_OF_WEEK,-0.10319734895180165,0.17142933918105396
2020-03-16,MEX_gadm_2,23217,Huimanguillo,Overall,Overall,full_february,DAY_OF_WEEK,-0.06696430662718468,0.23272786280442168
2020-03-16,MEX_gadm_2,23570,Progreso,Overall,Overall,full_february,DAY_OF_WEEK,-0.11927276394205909,0.18737429660996893
2020-03-16,MEX_gadm_2,22517,Morelos,Overall,Overall,full_february,DAY_OF_WEEK,-0.10034705776739554,0.1615608908568353
2020-03-16,MEX_gadm_2,23266,Huamantla,Overall,Overall,full_february,DAY_OF_WEEK,-0.15407154011934382,0.17543732319080754
2020-03-16,MEX_gadm_2,22326,Acatic,Overall,Overall,full_february,DAY_OF_WEEK,-0.015556919249616984,0.14665967557328197
2020-03-16,MEX_gadm_2,23292,Tzompantepec,Overall,Overall,full_february,DAY_OF_WEEK,-0.14004254198974775,0.1585669522798549
2020-03-16,MEX_gadm_2,22281,Santiago Tulantepec de Lugo Guerrero,Overall,Overall,full_february,DAY_OF_WEEK,-0.09237006859221633,0.15768396772200152
2020-03-16,MEX_gadm_2,22772,San Pedro Garza Garc-a,Overall,Overall,full_february,DAY_OF_WEEK,-0.33489756341366683,0.2552460610466356
2020-03-16,MEX_gadm_2,22130,Allende,Overall,Overall,full_february,DAY_OF_WEEK,-0.05171007327319954,0.17747668279669884
2020-03-16,MEX_gadm_2,22976,Cuautinch-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.19255535161388224,0.16372766623121696
2020-03-16,MEX_gadm_2,22186,Jos- Azueta,Overall,Overall,full_february,DAY_OF_WEEK,0.36061131402640423,0.12753099888333844
2020-03-16,MEX_gadm_2,23810,Guachochic,Overall,Overall,full_february,DAY_OF_WEEK,0.22582945234604693,0.1096342074211018
2020-03-16,MEX_gadm_2,22370,El Grullo,Overall,Overall,full_february,DAY_OF_WEEK,-0.07753695153306835,0.13561680658447406
2020-03-16,MEX_gadm_2,23667,Zacatecas,Overall,Overall,full_february,DAY_OF_WEEK,-0.16612217736998433,0.19078414883551115
2020-03-16,MEX_gadm_2,22689,Atlatlahucan,Overall,Overall,full_february,DAY_OF_WEEK,-0.018432416725247952,0.1497263829612102
2020-03-16,MEX_gadm_2,22829,Puebla,Overall,Overall,full_february,DAY_OF_WEEK,-0.24694328428451173,0.23188956530141558
2020-03-16,MEX_gadm_2,22323,Tototl-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.16349023936603194,0.15737983626830396
2020-03-16,MEX_gadm_2,23765,Reforma,Overall,Overall,full_february,DAY_OF_WEEK,-0.1465353031196759,0.20644811770006602
2020-03-16,MEX_gadm_2,23885,Sierra Mojada,Overall,Overall,full_february,DAY_OF_WEEK,-0.06877947257413589,0.27717577699574036
2020-03-16,MEX_gadm_2,22790,Dist. Pochutla,Overall,Overall,full_february,DAY_OF_WEEK,0.2235890230620913,0.14337963331274678
2020-03-16,MEX_gadm_2,22888,Tepeyahualco,Overall,Overall,full_february,DAY_OF_WEEK,0.005255449864483597,0.13579291542208027
2020-03-16,MEX_gadm_2,23028,Amealco de Bonfin,Overall,Overall,full_february,DAY_OF_WEEK,-0.09958026616651203,0.17623730724239067
2020-03-16,MEX_gadm_2,23166,Nacozari de Garc-a,Overall,Overall,full_february,DAY_OF_WEEK,-0.013797147044042224,0.17220609426829295
2020-03-16,MEX_gadm_2,23731,Jiquipilas,Overall,Overall,full_february,DAY_OF_WEEK,-0.005063325959943448,0.18637740464913571
2020-03-16,MEX_gadm_2,23769,San Fernando,Overall,Overall,full_february,DAY_OF_WEEK,0.0011917070086540265,0.16284003363394947
2020-03-16,MEX_gadm_2,22206,Taxco de Alarc-n,Overall,Overall,full_february,DAY_OF_WEEK,0.11507658942493612,0.16377612231171068
2020-03-16,MEX_gadm_2,22483,Coatepec Harinas,Overall,Overall,full_february,DAY_OF_WEEK,0.05577480379665783,0.14128467714454493
2020-03-16,MEX_gadm_2,23463,Coyutla,Overall,Overall,full_february,DAY_OF_WEEK,0.02590859257463713,0.2641502649502963
2020-03-16,MEX_gadm_2,22551,Tenango del Aire,Overall,Overall,full_february,DAY_OF_WEEK,-0.14760979375546793,0.1998866204692979
2020-03-16,MEX_gadm_2,22069,Canatl-n,Overall,Overall,full_february,DAY_OF_WEEK,0.007501174941645735,0.13021140021323452
2020-03-16,MEX_gadm_2,23753,Ocozocoautla de Espinosa,Overall,Overall,full_february,DAY_OF_WEEK,-0.08223503279393216,0.1788056241667961
2020-03-16,MEX_gadm_2,22250,Huejutla de Reyes,Overall,Overall,full_february,DAY_OF_WEEK,-0.056487465186392916,0.15510692189561634
2020-03-16,MEX_gadm_2,22586,Chilchota,Overall,Overall,full_february,DAY_OF_WEEK,0.005401649583061287,0.1990106546888303
2020-03-16,MEX_gadm_2,22184,Igualapa,Overall,Overall,full_february,DAY_OF_WEEK,-0.05211561104121062,0.1997660790050481
2020-03-16,MEX_gadm_2,23207,Tacotalpa,Overall,Overall,full_february,DAY_OF_WEEK,-0.08780891399735419,0.30496139811063316
2020-03-16,MEX_gadm_2,23274,Nat-vitas,Overall,Overall,full_february,DAY_OF_WEEK,-0.19200379936459538,0.16757114765246092
2020-03-16,MEX_gadm_2,22100,Cuencam-,Overall,Overall,full_february,DAY_OF_WEEK,0.17733823634430834,0.15752260550370906
2020-03-16,MEX_gadm_2,22082,Poanas,Overall,Overall,full_february,DAY_OF_WEEK,-0.07059272584493007,0.16062515838402963
2020-03-16,MEX_gadm_2,22617,Jos- Sixto Verduzco,Overall,Overall,full_february,DAY_OF_WEEK,0.04713635303563296,0.18498138025871852
2020-03-16,MEX_gadm_2,22769,Sabinas Hidalgo,Overall,Overall,full_february,DAY_OF_WEEK,-0.1775758763075916,0.17337948100823314
2020-03-16,MEX_gadm_2,23659,Valpara-so,Overall,Overall,full_february,DAY_OF_WEEK,0.13234721189237492,0.1519585423040314
2020-03-16,MEX_gadm_2,23917,Cuajimalpa de Morelos,Overall,Overall,full_february,DAY_OF_WEEK,-0.359065695910815,0.27687802806350503
2020-03-16,MEX_gadm_2,23493,Jamapa,Overall,Overall,full_february,DAY_OF_WEEK,-0.11531192664363556,0.21439466025364257
2020-03-16,MEX_gadm_2,23851,Tem-sachic,Overall,Overall,full_february,DAY_OF_WEEK,0.013127642293310612,0.1724158335884886
2020-03-16,MEX_gadm_2,23222,Gonz-lez,Overall,Overall,full_february,DAY_OF_WEEK,0.052654910327729065,0.13967088366025018
2020-03-16,MEX_gadm_2,22906,Tlatlauquitepec,Overall,Overall,full_february,DAY_OF_WEEK,0.014913027890335403,0.17510172379460623
2020-03-16,MEX_gadm_2,23341,Poza Rica de Hidalgo,Overall,Overall,full_february,DAY_OF_WEEK,-0.08318923751700205,0.19712740973763973
2020-03-16,MEX_gadm_2,23409,Xalapa,Overall,Overall,full_february,DAY_OF_WEEK,-0.03230013468184885,0.25711204754890876
2020-03-16,MEX_gadm_2,23548,Ixil,Overall,Overall,full_february,DAY_OF_WEEK,-0.23840506184810992,0.184369374536998
2020-03-16,MEX_gadm_2,22366,Cuquito,Overall,Overall,full_february,DAY_OF_WEEK,-0.09289095758902292,0.17238813412909906
2020-03-16,MEX_gadm_2,23821,Ju-rez,Overall,Overall,full_february,DAY_OF_WEEK,-0.2501562355609251,0.21126860182091314
2020-03-16,MEX_gadm_2,23680,Hopelch-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.05640003086036814,0.2390236709784159
2020-03-16,MEX_gadm_2,23592,Tekax,Overall,Overall,full_february,DAY_OF_WEEK,-0.10070242824697437,0.17880733251723757
2020-03-16,MEX_gadm_2,23794,Camargo,Overall,Overall,full_february,DAY_OF_WEEK,-0.030465744587369937,0.14323384481952522
2020-03-16,MEX_gadm_2,23320,Moloac-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.10349511499702845,0.23519649595333839
2020-03-16,MEX_gadm_2,23410,Xico,Overall,Overall,full_february,DAY_OF_WEEK,-0.09755147291171296,0.2059075885273589
