ds,crisis_name,polygon_id,polygon_name,age_bracket,gender,baseline_name,baseline_type,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,external_polygon_id_type,external_polygon_id
2020-08-19,MEX_gadm_2,22107,Cortazar,Overall,Overall,full_february,DAY_OF_WEEK,-0.10134541307810244,0.19856759927826595,GADM,MEX.11.10_1
2020-08-19,MEX_gadm_2,22484,Cocotitl-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.2676944912442961,0.2527763563210833,GADM,MEX.15.29_1
2020-08-19,MEX_gadm_2,22639,Pajacuar-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.021575159096556846,0.24573831463289755,GADM,MEX.16.66_1
2020-08-19,MEX_gadm_2,23494,Jes-s Carranza,Overall,Overall,full_february,DAY_OF_WEEK,-0.013682687606684087,0.3296058269643149,GADM,MEX.30.87_1
2020-08-19,MEX_gadm_2,23663,Villa Garc-a,Overall,Overall,full_february,DAY_OF_WEEK,-0.08173793428166991,0.20564011430958215,GADM,MEX.32.52_1
2020-08-19,MEX_gadm_2,22108,Abasolo,Overall,Overall,full_february,DAY_OF_WEEK,-0.1608364805720269,0.21106899738168117,GADM,MEX.11.1_1
2020-08-19,MEX_gadm_2,22150,Celaya,Overall,Overall,full_february,DAY_OF_WEEK,-0.12770722717608174,0.22085170671866508,GADM,MEX.11.7_1
2020-08-19,MEX_gadm_2,22373,Encarnaci-n de D-az,Overall,Overall,full_february,DAY_OF_WEEK,-0.032436796952644606,0.19890883776627133,GADM,MEX.14.39_1
2020-08-19,MEX_gadm_2,22393,La Huerta,Overall,Overall,full_february,DAY_OF_WEEK,-0.22180555446385533,0.23252312704680828,GADM,MEX.14.57_1
2020-08-19,MEX_gadm_2,22563,Tzintzuntzan,Overall,Overall,full_february,DAY_OF_WEEK,-0.2711912112269551,0.24048943273818432,GADM,MEX.16.100_1
2020-08-19,MEX_gadm_2,22524,Ocoyoacac,Overall,Overall,full_february,DAY_OF_WEEK,-0.16088743317736914,0.21822072390445366,GADM,MEX.15.65_1
2020-08-19,MEX_gadm_2,22546,Temascalapa,Overall,Overall,full_february,DAY_OF_WEEK,-0.1758631706728484,0.21584713029666794,GADM,MEX.15.85_1
2020-08-19,MEX_gadm_2,23143,Agua Prieta,Overall,Overall,full_february,DAY_OF_WEEK,-0.07561256170382312,0.19660022142282416,GADM,MEX.26.2_1
2020-08-19,MEX_gadm_2,23459,Coscomatepec,Overall,Overall,full_february,DAY_OF_WEEK,-0.1720961461810948,0.26147267408314584,GADM,MEX.30.55_1
2020-08-19,MEX_gadm_2,22126,Salamanca,Overall,Overall,full_february,DAY_OF_WEEK,-0.1296935100658708,0.22773275515638924,GADM,MEX.11.27_1
2020-08-19,MEX_gadm_2,22856,San Pedro Cholula,Overall,Overall,full_february,DAY_OF_WEEK,-0.2283127993192641,0.25205010645349596,GADM,MEX.21.138_1
2020-08-19,MEX_gadm_2,23173,Puerto Pe-asco,Overall,Overall,full_february,DAY_OF_WEEK,-0.12163159540365741,0.21393512623779448,GADM,MEX.26.48_1
2020-08-19,MEX_gadm_2,23632,Loreto,Overall,Overall,full_february,DAY_OF_WEEK,-0.0822968464078693,0.19046206974931038,GADM,MEX.32.24_1
2020-08-19,MEX_gadm_2,23781,Tapachula,Overall,Overall,full_february,DAY_OF_WEEK,-0.11200396211695313,0.24511950995000398,GADM,MEX.5.90_1
2020-08-19,MEX_gadm_2,22493,Huehuetoca,Overall,Overall,full_february,DAY_OF_WEEK,-0.1707908626870911,0.23527248843237655,GADM,MEX.15.37_1
2020-08-19,MEX_gadm_2,22640,Panind-cuaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.21603114146019262,0.23027995486998715,GADM,MEX.16.67_1
2020-08-19,MEX_gadm_2,22662,Taretan,Overall,Overall,full_february,DAY_OF_WEEK,-0.1178669651429903,0.21418701470318152,GADM,MEX.16.87_1
2020-08-19,MEX_gadm_2,22894,Tianguismanalco,Overall,Overall,full_february,DAY_OF_WEEK,-0.1944730904705765,0.1878928015950677,GADM,MEX.21.172_1
2020-08-19,MEX_gadm_2,23405,Vega de Alatorre,Overall,Overall,full_february,DAY_OF_WEEK,-0.013058185251257797,0.2511958941525572,GADM,MEX.30.190_1
2020-08-19,MEX_gadm_2,23879,Sabinas,Overall,Overall,full_february,DAY_OF_WEEK,-0.11918884505170922,0.21282130525498022,GADM,MEX.7.29_1
2020-08-19,MEX_gadm_2,22119,Ac-mbaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.12402325770680409,0.2043181460119135,GADM,MEX.11.2_1
2020-08-19,MEX_gadm_2,22540,Soyaniquilpan de Ju-rez,Overall,Overall,full_february,DAY_OF_WEEK,-0.12379473689288537,0.13958271405494715,GADM,MEX.15.80_1
2020-08-19,MEX_gadm_2,22544,Tejupilco,Overall,Overall,full_february,DAY_OF_WEEK,-0.11168533602921267,0.2558006571073415,GADM,MEX.15.83_1
2020-08-19,MEX_gadm_2,22947,Ca-ada Morelos,Overall,Overall,full_february,DAY_OF_WEEK,-0.10502054307164091,0.23577465333906886,GADM,MEX.21.28_1
2020-08-19,MEX_gadm_2,23082,Santa Mar-a del R-o,Overall,Overall,full_february,DAY_OF_WEEK,0.012330367088372988,0.16191471715252495,GADM,MEX.24.34_1
2020-08-19,MEX_gadm_2,22116,Jer-cuaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.16835944114972506,0.211352916997126,GADM,MEX.11.18_1
2020-08-19,MEX_gadm_2,23751,Ocosingo,Overall,Overall,full_february,DAY_OF_WEEK,-0.09331904123361512,0.23633606341558994,GADM,MEX.5.62_1
2020-08-19,MEX_gadm_2,23911,Tlalpan,Overall,Overall,full_february,DAY_OF_WEEK,-0.31915918442630264,0.2773605848569632,GADM,MEX.9.14_1
2020-08-19,MEX_gadm_2,22301,Tolcayuca,Overall,Overall,full_february,DAY_OF_WEEK,-0.21632846769007769,0.2119095879700521,GADM,MEX.13.74_1
2020-08-19,MEX_gadm_2,22311,Zempoala,Overall,Overall,full_february,DAY_OF_WEEK,-0.2435407949762925,0.23921405791403455,GADM,MEX.13.83_1
2020-08-19,MEX_gadm_2,22807,Dist. Ejutla,Overall,Overall,full_february,DAY_OF_WEEK,-0.061189165866708646,0.2323080896635579,GADM,MEX.20.5_1
