ds,crisis_name,polygon_id,polygon_name,age_bracket,gender,baseline_name,baseline_type,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,external_polygon_id_type,external_polygon_id
2020-06-11,MEX_gadm_2,22107,Cortazar,Overall,Overall,full_february,DAY_OF_WEEK,-0.1718760163222696,0.22100502875440944,GADM,MEX.11.10_1
2020-06-11,MEX_gadm_2,22484,Cocotitl-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.34998204312035314,0.3124509648944888,GADM,MEX.15.29_1
2020-06-11,MEX_gadm_2,22639,Pajacuar-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.03583812628635112,0.24602828044744496,GADM,MEX.16.66_1
2020-06-11,MEX_gadm_2,23494,Jes-s Carranza,Overall,Overall,full_february,DAY_OF_WEEK,-0.23911973239308484,0.3552886100166754,GADM,MEX.30.87_1
2020-06-11,MEX_gadm_2,23663,Villa Garc-a,Overall,Overall,full_february,DAY_OF_WEEK,-0.13600016852160576,0.2314047460990698,GADM,MEX.32.52_1
2020-06-11,MEX_gadm_2,22108,Abasolo,Overall,Overall,full_february,DAY_OF_WEEK,-0.14599250899132077,0.20968724338987185,GADM,MEX.11.1_1
2020-06-11,MEX_gadm_2,22150,Celaya,Overall,Overall,full_february,DAY_OF_WEEK,-0.21194535941454257,0.24872143835063668,GADM,MEX.11.7_1
2020-06-11,MEX_gadm_2,22373,Encarnaci-n de D-az,Overall,Overall,full_february,DAY_OF_WEEK,-0.07395417194739827,0.20922357925286741,GADM,MEX.14.39_1
2020-06-11,MEX_gadm_2,22393,La Huerta,Overall,Overall,full_february,DAY_OF_WEEK,-0.0837541834155281,0.23236913973275408,GADM,MEX.14.57_1
2020-06-11,MEX_gadm_2,22525,Ocuilan,Overall,Overall,full_february,DAY_OF_WEEK,-0.4223874339045474,0.3460210314734925,GADM,MEX.15.66_1
2020-06-11,MEX_gadm_2,22563,Tzintzuntzan,Overall,Overall,full_february,DAY_OF_WEEK,-0.2637458798951513,0.2605414736807478,GADM,MEX.16.100_1
2020-06-11,MEX_gadm_2,23143,Agua Prieta,Overall,Overall,full_february,DAY_OF_WEEK,-0.18133177567080233,0.2101708784052241,GADM,MEX.26.2_1
2020-06-11,MEX_gadm_2,23459,Coscomatepec,Overall,Overall,full_february,DAY_OF_WEEK,-0.26434737596971125,0.2622893270148452,GADM,MEX.30.55_1
2020-06-11,MEX_gadm_2,22524,Ocoyoacac,Overall,Overall,full_february,DAY_OF_WEEK,-0.3417219655057833,0.2919922862246966,GADM,MEX.15.65_1
2020-06-11,MEX_gadm_2,22546,Temascalapa,Overall,Overall,full_february,DAY_OF_WEEK,-0.3088076027931014,0.2638896091778514,GADM,MEX.15.85_1
