ds,crisis_name,polygon_id,polygon_name,age_bracket,gender,baseline_name,baseline_type,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,external_polygon_id_type,external_polygon_id
2020-07-04,MEX_gadm_2,22107,Cortazar,Overall,Overall,full_february,DAY_OF_WEEK,-0.12330315653019479,0.20850622092255108,GADM,MEX.11.10_1
2020-07-04,MEX_gadm_2,22484,Cocotitl-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.2701292570484016,0.25557033671564666,GADM,MEX.15.29_1
2020-07-04,MEX_gadm_2,22639,Pajacuar-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.11089066260045306,0.2065216972303151,GADM,MEX.16.66_1
2020-07-04,MEX_gadm_2,23494,Jes-s Carranza,Overall,Overall,full_february,DAY_OF_WEEK,-0.2282407185728784,0.33614092809086443,GADM,MEX.30.87_1
2020-07-04,MEX_gadm_2,23663,Villa Garc-a,Overall,Overall,full_february,DAY_OF_WEEK,-0.15336530080302033,0.1839220723818932,GADM,MEX.32.52_1
2020-07-04,MEX_gadm_2,22108,Abasolo,Overall,Overall,full_february,DAY_OF_WEEK,-0.11623895304690968,0.2024476238563376,GADM,MEX.11.1_1
2020-07-04,MEX_gadm_2,22150,Celaya,Overall,Overall,full_february,DAY_OF_WEEK,-0.10161673695574373,0.20010179318035137,GADM,MEX.11.7_1
2020-07-04,MEX_gadm_2,22373,Encarnaci-n de D-az,Overall,Overall,full_february,DAY_OF_WEEK,0.003395322734411952,0.18848817246969693,GADM,MEX.14.39_1
2020-07-04,MEX_gadm_2,22393,La Huerta,Overall,Overall,full_february,DAY_OF_WEEK,-0.016702921510273916,0.21072109884437146,GADM,MEX.14.57_1
2020-07-04,MEX_gadm_2,22525,Ocuilan,Overall,Overall,full_february,DAY_OF_WEEK,-0.2975755018162958,0.2957795836231478,GADM,MEX.15.66_1
2020-07-04,MEX_gadm_2,22563,Tzintzuntzan,Overall,Overall,full_february,DAY_OF_WEEK,-0.04825268755115844,0.24086361269363785,GADM,MEX.16.100_1
2020-07-04,MEX_gadm_2,23143,Agua Prieta,Overall,Overall,full_february,DAY_OF_WEEK,-0.05939468631408557,0.20463050387688161,GADM,MEX.26.2_1
2020-07-04,MEX_gadm_2,23459,Coscomatepec,Overall,Overall,full_february,DAY_OF_WEEK,-0.22080329802595508,0.2398276410785443,GADM,MEX.30.55_1
2020-07-04,MEX_gadm_2,22524,Ocoyoacac,Overall,Overall,full_february,DAY_OF_WEEK,-0.19775800338643879,0.2503834228970437,GADM,MEX.15.65_1
2020-07-04,MEX_gadm_2,22546,Temascalapa,Overall,Overall,full_february,DAY_OF_WEEK,-0.18237402817683232,0.2040814268764103,GADM,MEX.15.85_1
2020-07-04,MEX_gadm_2,22493,Huehuetoca,Overall,Overall,full_february,DAY_OF_WEEK,-0.19537065501125064,0.24491693945533496,GADM,MEX.15.37_1
2020-07-04,MEX_gadm_2,22640,Panind-cuaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.172948005553942,0.1603755785420977,GADM,MEX.16.67_1
2020-07-04,MEX_gadm_2,22662,Taretan,Overall,Overall,full_february,DAY_OF_WEEK,-0.1960789255959507,0.24360528586471397,GADM,MEX.16.87_1
2020-07-04,MEX_gadm_2,22894,Tianguismanalco,Overall,Overall,full_february,DAY_OF_WEEK,-0.1614489758345526,0.1962227844455957,GADM,MEX.21.172_1
2020-07-04,MEX_gadm_2,23405,Vega de Alatorre,Overall,Overall,full_february,DAY_OF_WEEK,-0.08995166800913629,0.2688209226212926,GADM,MEX.30.190_1
2020-07-04,MEX_gadm_2,23879,Sabinas,Overall,Overall,full_february,DAY_OF_WEEK,-0.11270425053973049,0.20125907908668095,GADM,MEX.7.29_1
2020-07-04,MEX_gadm_2,22126,Salamanca,Overall,Overall,full_february,DAY_OF_WEEK,-0.12532967130298975,0.21726017861500246,GADM,MEX.11.27_1
2020-07-04,MEX_gadm_2,22856,San Pedro Cholula,Overall,Overall,full_february,DAY_OF_WEEK,-0.23492147323404214,0.26420581523082626,GADM,MEX.21.138_1
2020-07-04,MEX_gadm_2,23173,Puerto Pe-asco,Overall,Overall,full_february,DAY_OF_WEEK,-0.17621754528375672,0.2177986210229943,GADM,MEX.26.48_1
2020-07-04,MEX_gadm_2,23632,Loreto,Overall,Overall,full_february,DAY_OF_WEEK,0.006510992237946698,0.1506677129061042,GADM,MEX.32.24_1
2020-07-04,MEX_gadm_2,23781,Tapachula,Overall,Overall,full_february,DAY_OF_WEEK,-0.19099359951036624,0.29493126925196983,GADM,MEX.5.90_1
2020-07-04,MEX_gadm_2,22119,Ac-mbaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.12232878564967042,0.20339037995287684,GADM,MEX.11.2_1
2020-07-04,MEX_gadm_2,22540,Soyaniquilpan de Ju-rez,Overall,Overall,full_february,DAY_OF_WEEK,-0.18664299097494197,0.17868485491076047,GADM,MEX.15.80_1
2020-07-04,MEX_gadm_2,22544,Tejupilco,Overall,Overall,full_february,DAY_OF_WEEK,-0.24584674787935978,0.25309730052323814,GADM,MEX.15.83_1
2020-07-04,MEX_gadm_2,22947,Ca-ada Morelos,Overall,Overall,full_february,DAY_OF_WEEK,-0.1399210856588848,0.2143902040933511,GADM,MEX.21.28_1
2020-07-04,MEX_gadm_2,23082,Santa Mar-a del R-o,Overall,Overall,full_february,DAY_OF_WEEK,-0.21186786458156157,0.17907279959682432,GADM,MEX.24.34_1
2020-07-04,MEX_gadm_2,22116,Jer-cuaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.1931251259979327,0.23493968844202728,GADM,MEX.11.18_1
2020-07-04,MEX_gadm_2,23751,Ocosingo,Overall,Overall,full_february,DAY_OF_WEEK,-0.13779590860561275,0.27563876656615827,GADM,MEX.5.62_1
2020-07-04,MEX_gadm_2,23911,Tlalpan,Overall,Overall,full_february,DAY_OF_WEEK,-0.35410576164048096,0.29612453665608934,GADM,MEX.9.14_1
2020-07-04,MEX_gadm_2,22681,Jonacatepec,Overall,Overall,full_february,DAY_OF_WEEK,-0.1688372361209378,0.24924751625851035,GADM,MEX.17.13_1
2020-07-04,MEX_gadm_2,23029,Pedro Escobedo,Overall,Overall,full_february,DAY_OF_WEEK,-0.07230680645669613,0.15288581289822978,GADM,MEX.22.11_1
2020-07-04,MEX_gadm_2,23722,Huehuet-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.19502272599897022,0.35171045490130876,GADM,MEX.5.36_1
2020-07-04,MEX_gadm_2,23830,Matamoros,Overall,Overall,full_february,DAY_OF_WEEK,-0.01504033769131478,0.1641466396363085,GADM,MEX.6.44_1
2020-07-04,MEX_gadm_2,22301,Tolcayuca,Overall,Overall,full_february,DAY_OF_WEEK,-0.12849847606764014,0.21221084809925797,GADM,MEX.13.74_1
2020-07-04,MEX_gadm_2,22311,Zempoala,Overall,Overall,full_february,DAY_OF_WEEK,-0.2887182972683115,0.18352128222315636,GADM,MEX.13.83_1
2020-07-04,MEX_gadm_2,22807,Dist. Ejutla,Overall,Overall,full_february,DAY_OF_WEEK,-0.17935181345355786,0.20543944757375834,GADM,MEX.20.5_1
2020-07-04,MEX_gadm_2,22939,Zoquiapan,Overall,Overall,full_february,DAY_OF_WEEK,-0.11785937418089552,0.32317383315903186,GADM,MEX.21.212_1
2020-07-04,MEX_gadm_2,23819,Janos,Overall,Overall,full_february,DAY_OF_WEEK,-0.14451140897096323,0.1647523045712901,GADM,MEX.6.34_1
2020-07-04,MEX_gadm_2,22237,Chapulhuac-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.21160233955653315,0.24844189082456,GADM,MEX.13.16_1
2020-07-04,MEX_gadm_2,22289,Tepeji del R-o de Ocampo,Overall,Overall,full_february,DAY_OF_WEEK,-0.17609506534636044,0.2331395475728667,GADM,MEX.13.63_1
2020-07-04,MEX_gadm_2,22444,Tianguistenco,Overall,Overall,full_february,DAY_OF_WEEK,-0.2219222407475314,0.2344763168674571,GADM,MEX.15.102_1
2020-07-04,MEX_gadm_2,22521,Nezahualc-yotl,Overall,Overall,full_february,DAY_OF_WEEK,-0.24572817418914655,0.3314378245965324,GADM,MEX.15.62_1
2020-07-04,MEX_gadm_2,22616,Jiquilpan,Overall,Overall,full_february,DAY_OF_WEEK,-0.10580752218762071,0.19778388185752524,GADM,MEX.16.45_1
2020-07-04,MEX_gadm_2,22624,L-zaro C-rdenas,Overall,Overall,full_february,DAY_OF_WEEK,-0.11838038338239429,0.21365070917402693,GADM,MEX.16.52_1
2020-07-04,MEX_gadm_2,22795,Dist. Tehuantepec,Overall,Overall,full_february,DAY_OF_WEEK,-0.22928914067515632,0.29423150699418466,GADM,MEX.20.21_1
2020-07-04,MEX_gadm_2,22114,Irapuato,Overall,Overall,full_february,DAY_OF_WEEK,-0.12816328981789027,0.22893607315454503,GADM,MEX.11.16_1
2020-07-04,MEX_gadm_2,22787,Dist. Mixe,Overall,Overall,full_february,DAY_OF_WEEK,0.0616806328267358,0.27424942618029974,GADM,MEX.20.14_1
2020-07-04,MEX_gadm_2,22958,Chignahuapan,Overall,Overall,full_february,DAY_OF_WEEK,-0.1013361500330135,0.17745580747756345,GADM,MEX.21.38_1
2020-07-04,MEX_gadm_2,23140,Cananea,Overall,Overall,full_february,DAY_OF_WEEK,-0.16065027506412913,0.2368437139007232,GADM,MEX.26.18_1
2020-07-04,MEX_gadm_2,23150,Guaymas,Overall,Overall,full_february,DAY_OF_WEEK,-0.2537816277952319,0.27850526009771165,GADM,MEX.26.27_1
