ds,crisis_name,polygon_id,polygon_name,age_bracket,gender,baseline_name,baseline_type,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,external_polygon_id_type,external_polygon_id
2020-07-22,MEX_gadm_2,22107,Cortazar,Overall,Overall,full_february,DAY_OF_WEEK,-0.14910748969001517,0.21952497322250641,GADM,MEX.11.10_1
2020-07-22,MEX_gadm_2,22484,Cocotitl-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.27578728339957564,0.26803755551863384,GADM,MEX.15.29_1
2020-07-22,MEX_gadm_2,22639,Pajacuar-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.13630206789383803,0.2445387795735296,GADM,MEX.16.66_1
2020-07-22,MEX_gadm_2,23494,Jes-s Carranza,Overall,Overall,full_february,DAY_OF_WEEK,-0.1171668371634379,0.3624572975750838,GADM,MEX.30.87_1
2020-07-22,MEX_gadm_2,23663,Villa Garc-a,Overall,Overall,full_february,DAY_OF_WEEK,-0.0635102306470485,0.21352414765068106,GADM,MEX.32.52_1
2020-07-22,MEX_gadm_2,22108,Abasolo,Overall,Overall,full_february,DAY_OF_WEEK,-0.16417587752146637,0.22050112397957838,GADM,MEX.11.1_1
2020-07-22,MEX_gadm_2,22150,Celaya,Overall,Overall,full_february,DAY_OF_WEEK,-0.16910697823225262,0.2361330624117561,GADM,MEX.11.7_1
2020-07-22,MEX_gadm_2,22373,Encarnaci-n de D-az,Overall,Overall,full_february,DAY_OF_WEEK,0.002982994754314442,0.1854806469651654,GADM,MEX.14.39_1
2020-07-22,MEX_gadm_2,22393,La Huerta,Overall,Overall,full_february,DAY_OF_WEEK,-0.11992283997355456,0.23958423667134518,GADM,MEX.14.57_1
2020-07-22,MEX_gadm_2,22563,Tzintzuntzan,Overall,Overall,full_february,DAY_OF_WEEK,-0.2659189109874958,0.24112958353890618,GADM,MEX.16.100_1
2020-07-22,MEX_gadm_2,23143,Agua Prieta,Overall,Overall,full_february,DAY_OF_WEEK,-0.10278468647140125,0.21866813708784205,GADM,MEX.26.2_1
2020-07-22,MEX_gadm_2,23459,Coscomatepec,Overall,Overall,full_february,DAY_OF_WEEK,-0.24782693556579113,0.2633735108151112,GADM,MEX.30.55_1
2020-07-22,MEX_gadm_2,22524,Ocoyoacac,Overall,Overall,full_february,DAY_OF_WEEK,-0.2291945878216512,0.2274966772950592,GADM,MEX.15.65_1
2020-07-22,MEX_gadm_2,22546,Temascalapa,Overall,Overall,full_february,DAY_OF_WEEK,-0.21446071092538996,0.2347847806166236,GADM,MEX.15.85_1
2020-07-22,MEX_gadm_2,22493,Huehuetoca,Overall,Overall,full_february,DAY_OF_WEEK,-0.20991046434305902,0.2561410387203802,GADM,MEX.15.37_1
2020-07-22,MEX_gadm_2,22640,Panind-cuaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.1493100155175631,0.18331704683911482,GADM,MEX.16.67_1
2020-07-22,MEX_gadm_2,22662,Taretan,Overall,Overall,full_february,DAY_OF_WEEK,-0.20939160544085728,0.28862135522698784,GADM,MEX.16.87_1
