ds,crisis_name,polygon_id,polygon_name,age_bracket,gender,baseline_name,baseline_type,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,external_polygon_id_type,external_polygon_id
2020-06-02,MEX_gadm_2,22107,Cortazar,Overall,Overall,full_february,DAY_OF_WEEK,-0.16929581288620835,0.22758272394969867,GADM,MEX.11.10_1
2020-06-02,MEX_gadm_2,22484,Cocotitl-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.34249579661422863,0.32059282684041196,GADM,MEX.15.29_1
2020-06-02,MEX_gadm_2,22639,Pajacuar-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.15608649145861508,0.21561154779509295,GADM,MEX.16.66_1
2020-06-02,MEX_gadm_2,23494,Jes-s Carranza,Overall,Overall,full_february,DAY_OF_WEEK,-0.06773866065283336,0.3365724184909527,GADM,MEX.30.87_1
2020-06-02,MEX_gadm_2,23663,Villa Garc-a,Overall,Overall,full_february,DAY_OF_WEEK,-0.1751241646804377,0.26038858935895837,GADM,MEX.32.52_1
2020-06-02,MEX_gadm_2,22108,Abasolo,Overall,Overall,full_february,DAY_OF_WEEK,-0.13492230932343757,0.22574606418692136,GADM,MEX.11.1_1
2020-06-02,MEX_gadm_2,22150,Celaya,Overall,Overall,full_february,DAY_OF_WEEK,-0.2264774629140408,0.2536322645509404,GADM,MEX.11.7_1
2020-06-02,MEX_gadm_2,22373,Encarnaci-n de D-az,Overall,Overall,full_february,DAY_OF_WEEK,-0.06366766456708717,0.206888353150096,GADM,MEX.14.39_1
2020-06-02,MEX_gadm_2,22393,La Huerta,Overall,Overall,full_february,DAY_OF_WEEK,-0.1037087740882913,0.22263746963430317,GADM,MEX.14.57_1
2020-06-02,MEX_gadm_2,22525,Ocuilan,Overall,Overall,full_february,DAY_OF_WEEK,-0.2838327065128466,0.2969391626494166,GADM,MEX.15.66_1
2020-06-02,MEX_gadm_2,22563,Tzintzuntzan,Overall,Overall,full_february,DAY_OF_WEEK,-0.2559471029439602,0.215727144291701,GADM,MEX.16.100_1
2020-06-02,MEX_gadm_2,22524,Ocoyoacac,Overall,Overall,full_february,DAY_OF_WEEK,-0.33318876078362075,0.27682922592150916,GADM,MEX.15.65_1
2020-06-02,MEX_gadm_2,22546,Temascalapa,Overall,Overall,full_february,DAY_OF_WEEK,-0.3306490731704722,0.27312915952205946,GADM,MEX.15.85_1
2020-06-02,MEX_gadm_2,23655,Tepetongo,Overall,Overall,full_february,DAY_OF_WEEK,-0.13949945575055506,0.2540322957382122,GADM,MEX.32.45_1
