ds,crisis_name,polygon_id,polygon_name,age_bracket,gender,baseline_name,baseline_type,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,external_polygon_id_type,external_polygon_id
2020-08-15,MEX_gadm_2,22107,Cortazar,Overall,Overall,full_february,DAY_OF_WEEK,-0.04996779328621744,0.18435265363334788,GADM,MEX.11.10_1
2020-08-15,MEX_gadm_2,22484,Cocotitl-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.14978530232071918,0.23938009788904727,GADM,MEX.15.29_1
2020-08-15,MEX_gadm_2,22639,Pajacuar-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.018366212993193298,0.1988763234994709,GADM,MEX.16.66_1
2020-08-15,MEX_gadm_2,23494,Jes-s Carranza,Overall,Overall,full_february,DAY_OF_WEEK,-0.15210498988059248,0.3385811999019573,GADM,MEX.30.87_1
2020-08-15,MEX_gadm_2,23663,Villa Garc-a,Overall,Overall,full_february,DAY_OF_WEEK,-0.06586985759597537,0.21349859570255209,GADM,MEX.32.52_1
2020-08-15,MEX_gadm_2,22108,Abasolo,Overall,Overall,full_february,DAY_OF_WEEK,-0.07208354159549586,0.1844725513982586,GADM,MEX.11.1_1
2020-08-15,MEX_gadm_2,22150,Celaya,Overall,Overall,full_february,DAY_OF_WEEK,-0.031381631005490365,0.1871920481693369,GADM,MEX.11.7_1
2020-08-15,MEX_gadm_2,22373,Encarnaci-n de D-az,Overall,Overall,full_february,DAY_OF_WEEK,0.030041640689831884,0.17300994591974392,GADM,MEX.14.39_1
2020-08-15,MEX_gadm_2,22393,La Huerta,Overall,Overall,full_february,DAY_OF_WEEK,-0.02962604005517923,0.19679792435170168,GADM,MEX.14.57_1
2020-08-15,MEX_gadm_2,22525,Ocuilan,Overall,Overall,full_february,DAY_OF_WEEK,-0.13795228778279628,0.25324027772324975,GADM,MEX.15.66_1
2020-08-15,MEX_gadm_2,22563,Tzintzuntzan,Overall,Overall,full_february,DAY_OF_WEEK,-0.04594632465182351,0.20396650199527622,GADM,MEX.16.100_1
2020-08-15,MEX_gadm_2,22524,Ocoyoacac,Overall,Overall,full_february,DAY_OF_WEEK,-0.11785855549512372,0.20392172839826464,GADM,MEX.15.65_1
2020-08-15,MEX_gadm_2,22546,Temascalapa,Overall,Overall,full_february,DAY_OF_WEEK,-0.11816700853423998,0.20018483552863123,GADM,MEX.15.85_1
2020-08-15,MEX_gadm_2,23143,Agua Prieta,Overall,Overall,full_february,DAY_OF_WEEK,-0.002999002950908857,0.17859365114598483,GADM,MEX.26.2_1
2020-08-15,MEX_gadm_2,23459,Coscomatepec,Overall,Overall,full_february,DAY_OF_WEEK,-0.09996315541649908,0.2430168990919847,GADM,MEX.30.55_1
2020-08-15,MEX_gadm_2,22126,Salamanca,Overall,Overall,full_february,DAY_OF_WEEK,-0.0776758645477234,0.20381871175885632,GADM,MEX.11.27_1
2020-08-15,MEX_gadm_2,22856,San Pedro Cholula,Overall,Overall,full_february,DAY_OF_WEEK,-0.1538633624740351,0.23384701378416353,GADM,MEX.21.138_1
2020-08-15,MEX_gadm_2,23173,Puerto Pe-asco,Overall,Overall,full_february,DAY_OF_WEEK,-0.03581518026087217,0.18714752253330302,GADM,MEX.26.48_1
2020-08-15,MEX_gadm_2,23632,Loreto,Overall,Overall,full_february,DAY_OF_WEEK,0.023341509862400404,0.17933398749722262,GADM,MEX.32.24_1
2020-08-15,MEX_gadm_2,23781,Tapachula,Overall,Overall,full_february,DAY_OF_WEEK,-0.0804242574291367,0.24336275122147463,GADM,MEX.5.90_1
2020-08-15,MEX_gadm_2,22493,Huehuetoca,Overall,Overall,full_february,DAY_OF_WEEK,-0.0947566574930213,0.20920514543094534,GADM,MEX.15.37_1
2020-08-15,MEX_gadm_2,22640,Panind-cuaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.07090700216070779,0.19800348033991333,GADM,MEX.16.67_1
2020-08-15,MEX_gadm_2,22662,Taretan,Overall,Overall,full_february,DAY_OF_WEEK,-0.045941439000680886,0.21192825947160893,GADM,MEX.16.87_1
2020-08-15,MEX_gadm_2,22894,Tianguismanalco,Overall,Overall,full_february,DAY_OF_WEEK,-0.1734763922535414,0.17939793121549188,GADM,MEX.21.172_1
2020-08-15,MEX_gadm_2,23405,Vega de Alatorre,Overall,Overall,full_february,DAY_OF_WEEK,-0.004429722886220222,0.2805218061050624,GADM,MEX.30.190_1
2020-08-15,MEX_gadm_2,23879,Sabinas,Overall,Overall,full_february,DAY_OF_WEEK,-0.08422371322914467,0.18520428473290892,GADM,MEX.7.29_1
2020-08-15,MEX_gadm_2,22119,Ac-mbaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.030637059123499268,0.19166744300638724,GADM,MEX.11.2_1
2020-08-15,MEX_gadm_2,22540,Soyaniquilpan de Ju-rez,Overall,Overall,full_february,DAY_OF_WEEK,-0.14763100551367633,0.1850206749067602,GADM,MEX.15.80_1
2020-08-15,MEX_gadm_2,22544,Tejupilco,Overall,Overall,full_february,DAY_OF_WEEK,-0.12894021135773123,0.22080855843714917,GADM,MEX.15.83_1
2020-08-15,MEX_gadm_2,22947,Ca-ada Morelos,Overall,Overall,full_february,DAY_OF_WEEK,-0.15653948097579487,0.23361103285900853,GADM,MEX.21.28_1
2020-08-15,MEX_gadm_2,23082,Santa Mar-a del R-o,Overall,Overall,full_february,DAY_OF_WEEK,-0.12104917614290193,0.17838018417923246,GADM,MEX.24.34_1
2020-08-15,MEX_gadm_2,22116,Jer-cuaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.07032343826776377,0.1707211158066054,GADM,MEX.11.18_1
2020-08-15,MEX_gadm_2,23751,Ocosingo,Overall,Overall,full_february,DAY_OF_WEEK,-0.010118507236970288,0.24282800319069853,GADM,MEX.5.62_1
2020-08-15,MEX_gadm_2,23911,Tlalpan,Overall,Overall,full_february,DAY_OF_WEEK,-0.2330137317041451,0.26251381610513613,GADM,MEX.9.14_1
2020-08-15,MEX_gadm_2,22681,Jonacatepec,Overall,Overall,full_february,DAY_OF_WEEK,-0.12687182795815563,0.24426750638261555,GADM,MEX.17.13_1
2020-08-15,MEX_gadm_2,23029,Pedro Escobedo,Overall,Overall,full_february,DAY_OF_WEEK,-0.07148717993370216,0.13655241585989045,GADM,MEX.22.11_1
2020-08-15,MEX_gadm_2,23722,Huehuet-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.0976217956941553,0.294518552785858,GADM,MEX.5.36_1
2020-08-15,MEX_gadm_2,23830,Matamoros,Overall,Overall,full_february,DAY_OF_WEEK,0.0004968763883392998,0.1496909739591572,GADM,MEX.6.44_1
2020-08-15,MEX_gadm_2,22301,Tolcayuca,Overall,Overall,full_february,DAY_OF_WEEK,-0.09784951612871268,0.1905759516952001,GADM,MEX.13.74_1
2020-08-15,MEX_gadm_2,22311,Zempoala,Overall,Overall,full_february,DAY_OF_WEEK,-0.24046526030592133,0.20197298150185083,GADM,MEX.13.83_1
2020-08-15,MEX_gadm_2,22807,Dist. Ejutla,Overall,Overall,full_february,DAY_OF_WEEK,-0.08882455376844678,0.189582125950807,GADM,MEX.20.5_1
2020-08-15,MEX_gadm_2,22237,Chapulhuac-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.27115293322109196,0.2346259270985928,GADM,MEX.13.16_1
2020-08-15,MEX_gadm_2,22289,Tepeji del R-o de Ocampo,Overall,Overall,full_february,DAY_OF_WEEK,-0.10302973414002344,0.211694744939842,GADM,MEX.13.63_1
2020-08-15,MEX_gadm_2,22444,Tianguistenco,Overall,Overall,full_february,DAY_OF_WEEK,-0.06446890667901817,0.21424653773583144,GADM,MEX.15.102_1
2020-08-15,MEX_gadm_2,22521,Nezahualc-yotl,Overall,Overall,full_february,DAY_OF_WEEK,-0.11499038443038334,0.28853382833693525,GADM,MEX.15.62_1
2020-08-15,MEX_gadm_2,22616,Jiquilpan,Overall,Overall,full_february,DAY_OF_WEEK,-0.08448774475263139,0.1772963311157601,GADM,MEX.16.45_1
2020-08-15,MEX_gadm_2,22624,L-zaro C-rdenas,Overall,Overall,full_february,DAY_OF_WEEK,-0.017276586806924975,0.18906759699087827,GADM,MEX.16.52_1
2020-08-15,MEX_gadm_2,22795,Dist. Tehuantepec,Overall,Overall,full_february,DAY_OF_WEEK,-0.15511046507756854,0.2760183416458842,GADM,MEX.20.21_1
2020-08-15,MEX_gadm_2,22114,Irapuato,Overall,Overall,full_february,DAY_OF_WEEK,-0.07547448715761931,0.21264214584103958,GADM,MEX.11.16_1
2020-08-15,MEX_gadm_2,22787,Dist. Mixe,Overall,Overall,full_february,DAY_OF_WEEK,0.011162359661027412,0.25365876431150086,GADM,MEX.20.14_1
2020-08-15,MEX_gadm_2,22958,Chignahuapan,Overall,Overall,full_february,DAY_OF_WEEK,-0.05496921775957887,0.1796683303300067,GADM,MEX.21.38_1
2020-08-15,MEX_gadm_2,23140,Cananea,Overall,Overall,full_february,DAY_OF_WEEK,-0.004579010920617049,0.21148853395690012,GADM,MEX.26.18_1
2020-08-15,MEX_gadm_2,23150,Guaymas,Overall,Overall,full_february,DAY_OF_WEEK,-0.10636138466232771,0.2198680583327756,GADM,MEX.26.27_1
2020-08-15,MEX_gadm_2,23787,Teopisca,Overall,Overall,full_february,DAY_OF_WEEK,-0.02632734999711171,0.15876160224981614,GADM,MEX.5.95_1
2020-08-15,MEX_gadm_2,22564,Arteaga,Overall,Overall,full_february,DAY_OF_WEEK,-0.015212200431476365,0.19530194752605406,GADM,MEX.16.10_1
2020-08-15,MEX_gadm_2,22655,Aquila,Overall,Overall,full_february,DAY_OF_WEEK,-0.07846303481600968,0.2856392839303847,GADM,MEX.16.8_1
