ds,crisis_name,polygon_id,polygon_name,age_bracket,gender,baseline_name,baseline_type,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2020-05-04,MEX_gadm_2,22107,Cortazar,Overall,Overall,full_february,DAY_OF_WEEK,-0.2729712494896783,0.247317977630502
2020-05-04,MEX_gadm_2,23494,Jes-s Carranza,Overall,Overall,full_february,DAY_OF_WEEK,-0.08792600763871783,0.2821770052360179
2020-05-04,MEX_gadm_2,22546,Temascalapa,Overall,Overall,full_february,DAY_OF_WEEK,-0.3427978810610467,0.2651944250644792
2020-05-04,MEX_gadm_2,23655,Tepetongo,Overall,Overall,full_february,DAY_OF_WEEK,-0.1529935614005876,0.32039834308608445
2020-05-04,MEX_gadm_2,22540,Soyaniquilpan de Ju-rez,Overall,Overall,full_february,DAY_OF_WEEK,-0.37776290530380974,0.22098500266251925
2020-05-04,MEX_gadm_2,22947,Ca-ada Morelos,Overall,Overall,full_february,DAY_OF_WEEK,-0.24305500529044502,0.2622146150778869
2020-05-04,MEX_gadm_2,22116,Jer-cuaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.1557729084612626,0.20647018747155305
2020-05-04,MEX_gadm_2,22301,Tolcayuca,Overall,Overall,full_february,DAY_OF_WEEK,-0.3296265527797121,0.2526450411195203
2020-05-04,MEX_gadm_2,22939,Zoquiapan,Overall,Overall,full_february,DAY_OF_WEEK,-0.3258062292777084,0.31996016702427965
2020-05-04,MEX_gadm_2,22289,Tepeji del R-o de Ocampo,Overall,Overall,full_february,DAY_OF_WEEK,-0.30036575886048167,0.27954146509389505
2020-05-04,MEX_gadm_2,22797,Dist. Teposcolula,Overall,Overall,full_february,DAY_OF_WEEK,-0.39714289697438127,0.24742136020092045
2020-05-04,MEX_gadm_2,23172,Pitiquito,Overall,Overall,full_february,DAY_OF_WEEK,-0.12653370617548723,0.24681926006724858
2020-05-04,MEX_gadm_2,22564,Arteaga,Overall,Overall,full_february,DAY_OF_WEEK,-0.3060084877451417,0.2781845694011928
2020-05-04,MEX_gadm_2,22221,Arcelia,Overall,Overall,full_february,DAY_OF_WEEK,-0.44526548359330576,0.27863260731393086
2020-05-04,MEX_gadm_2,23249,Tampico,Overall,Overall,full_february,DAY_OF_WEEK,-0.3768334212006598,0.34396869840928823
2020-05-04,MEX_gadm_2,22599,Cuitzeo,Overall,Overall,full_february,DAY_OF_WEEK,-0.25679826930797245,0.22623983656212876
2020-05-04,MEX_gadm_2,22580,Buenavista,Overall,Overall,full_february,DAY_OF_WEEK,-0.08163203744006069,0.15593481552904537
2020-05-04,MEX_gadm_2,22777,Apodaca,Overall,Overall,full_february,DAY_OF_WEEK,-0.32906946736564996,0.3110303526610583
2020-05-04,MEX_gadm_2,23303,Chiautempan,Overall,Overall,full_february,DAY_OF_WEEK,-0.20262504440687243,0.20996607347361648
2020-05-04,MEX_gadm_2,23895,Francisco I. Madero,Overall,Overall,full_february,DAY_OF_WEEK,-0.241496585600738,0.251104940276817
