ds,crisis_name,polygon_id,polygon_name,age_bracket,gender,baseline_name,baseline_type,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,external_polygon_id_type,external_polygon_id
2020-07-09,MEX_gadm_2,22107,Cortazar,Overall,Overall,full_february,DAY_OF_WEEK,-0.16034121973159624,0.22719747455586528,GADM,MEX.11.10_1
2020-07-09,MEX_gadm_2,22484,Cocotitl-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.3203515613187108,0.2925795235639459,GADM,MEX.15.29_1
2020-07-09,MEX_gadm_2,22639,Pajacuar-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.15708445320040487,0.2640010323041305,GADM,MEX.16.66_1
2020-07-09,MEX_gadm_2,23494,Jes-s Carranza,Overall,Overall,full_february,DAY_OF_WEEK,-0.10041006252496387,0.3155408606051188,GADM,MEX.30.87_1
2020-07-09,MEX_gadm_2,23663,Villa Garc-a,Overall,Overall,full_february,DAY_OF_WEEK,-0.21367077738004767,0.23683838568374918,GADM,MEX.32.52_1
2020-07-09,MEX_gadm_2,22108,Abasolo,Overall,Overall,full_february,DAY_OF_WEEK,-0.16413411350175358,0.2161535696822107,GADM,MEX.11.1_1
2020-07-09,MEX_gadm_2,22150,Celaya,Overall,Overall,full_february,DAY_OF_WEEK,-0.1915114999186916,0.23659094052546092,GADM,MEX.11.7_1
2020-07-09,MEX_gadm_2,22373,Encarnaci-n de D-az,Overall,Overall,full_february,DAY_OF_WEEK,-0.08328864688475901,0.20556530346806043,GADM,MEX.14.39_1
2020-07-09,MEX_gadm_2,22393,La Huerta,Overall,Overall,full_february,DAY_OF_WEEK,-0.10795688202376331,0.22206362329776974,GADM,MEX.14.57_1
2020-07-09,MEX_gadm_2,22525,Ocuilan,Overall,Overall,full_february,DAY_OF_WEEK,-0.44027871527506307,0.24850031226432404,GADM,MEX.15.66_1
2020-07-09,MEX_gadm_2,22563,Tzintzuntzan,Overall,Overall,full_february,DAY_OF_WEEK,-0.2925619879425202,0.22828069226912892,GADM,MEX.16.100_1
2020-07-09,MEX_gadm_2,22524,Ocoyoacac,Overall,Overall,full_february,DAY_OF_WEEK,-0.28591273139987283,0.25571395757720666,GADM,MEX.15.65_1
2020-07-09,MEX_gadm_2,22546,Temascalapa,Overall,Overall,full_february,DAY_OF_WEEK,-0.27120164109035816,0.25405216631926714,GADM,MEX.15.85_1
2020-07-09,MEX_gadm_2,23143,Agua Prieta,Overall,Overall,full_february,DAY_OF_WEEK,-0.14402917782448132,0.22352493611708252,GADM,MEX.26.2_1
2020-07-09,MEX_gadm_2,23459,Coscomatepec,Overall,Overall,full_february,DAY_OF_WEEK,-0.2516306494428134,0.23239493918179055,GADM,MEX.30.55_1
2020-07-09,MEX_gadm_2,22126,Salamanca,Overall,Overall,full_february,DAY_OF_WEEK,-0.17059179134702562,0.2348007599376266,GADM,MEX.11.27_1
2020-07-09,MEX_gadm_2,22856,San Pedro Cholula,Overall,Overall,full_february,DAY_OF_WEEK,-0.3060819747524402,0.29273181673059007,GADM,MEX.21.138_1
2020-07-09,MEX_gadm_2,23173,Puerto Pe-asco,Overall,Overall,full_february,DAY_OF_WEEK,-0.2531331470597721,0.24748432872900022,GADM,MEX.26.48_1
